Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.33,6,24-18,3805,4843,71
Natshay,1.41,7,24-17,3440,4616,71
Rizk,0.86,-3,19-22,3450,4687,82
Wailers,1.33,6,24-18,3890,5249,65
Zeeked,1.19,3,19-16,3530,4266,92
Totals,1.21,19,110-91,18115,23661,381
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,0.48,-12,11-23,2445,2741,58
Mayhem,1.41,7,24-17,4165,4750,87
Methodz,0.52,-13,14-27,3355,4343,12
Parzelion,0.89,-2,16-18,2725,3367,74
Proto,1.04,1,26-25,4175,5020,12
Totals,0.83,-19,91-110,16865,20221,243
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.13,1,9-8,1295,1611,3:3
Natshay,0.5,-4,4-8,650,1466,0:1
Rizk,1.2,2,12-10,1925,2964,3:0
Wailers,1,0,7-7,950,1810,1:0
Zeeked,0.75,-2,6-8,1150,1845,0:0
Totals,0.93,-3,38-41,5970,9696,7:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.67,-3,6-9,1300,1573,1:1
Mayhem,0.2,-8,2-10,625,1397,0:2
Methodz,1.43,3,10-7,1375,2026,1:2
Parzelion,1.67,4,10-6,1650,1795,1:1
Proto,1.71,5,12-7,2005,2168,1:1
Totals,1.03,1,40-39,6955,8959,4:7
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.78,-5,18-23,3025,4111,0:3
Natshay,0.86,-3,18-21,2895,3278,0:0
Rizk,0.57,-9,12-21,2075,3974,0:0
Wailers,0.65,-8,15-23,2480,4186,0:1
Zeeked,1.07,1,16-15,3130,4131,0:0
Totals,0.77,-24,79-103,13605,19680,0:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.88,-2,14-16,3515,3332,0:0
Mayhem,1.13,2,17-15,3045,3697,1:0
Methodz,0.81,-3,13-16,3380,3784,0:0
Parzelion,2.38,18,31-13,4395,6099,0:0
Proto,1.47,9,28-19,3550,5116,3:0
Totals,1.3,24,103-79,17885,22028,4:0
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.87,-3,20-23,3685,4665,74
Natshay,0.84,-3,16-19,4070,4583,133
Rizk,2.13,18,34-16,3895,5476,35
Wailers,1.06,1,18-17,2690,4296,3
Zeeked,1.14,2,16-14,3330,4127,108
Totals,1.17,15,104-89,17670,23147,353
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,1,0,18-18,2675,3720,15
Mayhem,0.59,-9,13-22,1955,4183,20
Methodz,0.71,-7,17-24,2890,4006,24
Parzelion,1.56,9,25-16,3405,4796,57
Proto,0.67,-8,16-24,3050,4214,90
Totals,0.86,-15,89-104,13975,20919,206
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,5,12,15-3,2080,2788,4:0
Natshay,0.6,-2,3-5,450,697,0:1
Rizk,2.25,5,9-4,1150,1522,1:0
Wailers,1.4,2,7-5,1190,1865,1:0
Zeeked,0.4,-3,2-5,925,887,0:1
Totals,1.64,14,36-22,5795,7759,6:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.57,-3,4-7,665,825,2:0
Mayhem,0.29,-5,2-7,375,1192,0:2
Methodz,0.71,-2,5-7,850,1617,0:1
Parzelion,0.5,-4,4-8,475,1491,0:2
Proto,1,0,7-7,1100,1565,0:1
Totals,0.61,-14,22-36,3465,6690,2:6
