100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.42,5,17-12,2885,3382,40
Kenny,2.15,15,28-13,3895,4924,136
Octane,1.2,3,18-15,3030,4235,82
Priestahh,1.15,3,23-20,2905,4577,26
Slasher,1.23,3,16-13,2900,3005,78
Totals,1.4,29,102-73,15615,20123,362
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.63,-7,12-19,2275,3344,39
Joee,0.81,-4,17-21,2860,3929,23
Rated,0.64,-8,14-22,1880,3569,14
Skrapz,0.61,-9,14-23,2045,3378,29
Zer0,0.94,-1,16-17,2810,3299,86
Totals,0.72,-29,73-102,11870,17519,191
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.25,-6,2-8,620,846,0:2
Kenny,4,9,12-3,1975,2756,2:0
Octane,0.38,-5,3-8,525,1390,1:2
Priestahh,0.13,-7,1-8,230,1029,0:1
Slasher,0.86,-1,6-7,875,1310,0:1
Totals,0.71,-10,24-34,4225,7331,3:6
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.2,1,6-5,1325,1667,1:1
Joee,2.75,7,11-4,1610,1833,3:1
Rated,0.5,-3,3-6,460,1381,0:0
Skrapz,2,4,8-4,1050,1900,1:0
Zer0,1.2,1,6-5,1125,1222,1:1
Totals,1.42,10,34-24,5570,8003,6:3
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.6,-8,12-20,2755,2982,0:1
Kenny,0.68,-6,13-19,2365,3139,0:1
Octane,1.2,3,18-15,3225,4357,0:1
Priestahh,1.14,3,25-22,3525,4968,0:0
Slasher,1,0,17-17,2225,3490,1:0
Totals,0.91,-8,85-93,14095,18936,1:3
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1,0,18-18,3335,3173,1:0
Joee,0.63,-7,12-19,2685,2546,1:0
Rated,2.64,18,29-11,4660,5688,1:0
Skrapz,0.75,-4,12-16,3100,3883,0:0
Zer0,1.05,1,22-21,4250,4693,0:1
Totals,1.09,8,93-85,18030,19983,3:1
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.97,-1,28-29,4680,5640,28
Kenny,1.14,4,32-28,4900,6027,41
Octane,1,0,21-21,3965,4735,123
Priestahh,1.25,7,35-28,5405,7029,94
Slasher,0.79,-6,23-29,4480,5267,59
Totals,1.03,4,139-135,23430,28698,345
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,1.32,8,33-25,5140,6101,71
Joee,0.59,-13,19-32,3905,4193,63
Rated,0.91,-2,21-23,4535,4891,121
Skrapz,1.23,6,32-26,4645,6052,86
Zer0,0.88,-4,29-33,4610,6364,49
Totals,0.96,-5,134-139,22835,27601,390
