Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.81,-6,26-32,3420,4442,36
Bance,0.74,-7,20-27,3545,3923,106
Brack,1.29,6,27-21,4010,5702,77
Joee,0.77,-7,23-30,3215,5055,61
Rated,1.12,3,29-26,4000,6984,76
Totals,0.92,-11,125-136,18190,26106,356
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.92,-2,22-24,3355,5005,48
Formal,1.4,8,28-20,4570,6008,146
Gunless,1.08,2,27-25,3920,5873,69
John,0.97,-1,28-29,3890,5489,27
Slacked,1.15,4,31-27,4210,5350,80
Totals,1.09,11,136-125,19945,27725,370
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.67,-2,4-6,1025,835,0:0
Bance,1,0,6-6,700,1460,2:1
Brack,2.4,7,12-5,1375,1453,2:0
Joee,1,0,3-3,315,724,1:2
Rated,1.5,2,6-4,990,1516,1:0
Totals,1.29,7,31-24,4405,5988,6:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.83,-1,5-6,625,836,0:1
Formal,0.43,-4,3-7,525,866,0:1
Gunless,1.14,1,8-7,950,1364,3:1
John,0.5,-4,4-8,525,1020,0:2
Slacked,0.43,-4,3-7,350,532,0:1
Totals,0.66,-12,23-35,2975,4618,3:6
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.46,6,19-13,3275,4784,1:0
Bance,2,10,20-10,3025,3220,0:0
Brack,2.25,15,27-12,3635,5673,1:0
Joee,0.65,-6,11-17,1740,2605,0:0
Rated,0.65,-6,11-17,2000,3335,0:1
Totals,1.28,19,88-69,13675,19617,2:1
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1,0,17-17,2175,3903,0:0
Formal,0.63,-7,12-19,2275,3827,1:0
Gunless,0.94,-1,15-16,2475,3720,0:1
John,1.12,2,19-17,2930,3633,0:0
Slacked,0.32,-13,6-19,1525,2204,0:1
Totals,0.78,-19,69-88,11380,17287,1:2
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.26,5,24-19,3285,4988,69
Bance,0.82,-4,18-22,2665,3804,61
Brack,1.25,5,25-20,3455,5698,48
Joee,0.75,-6,18-24,2715,3809,40
Rated,0.68,-7,15-22,1995,3406,66
Totals,0.93,-7,100-107,14115,21705,284
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.78,-5,18-23,3315,3959,62
Formal,1.25,4,20-16,3080,3968,125
Gunless,1,0,23-23,2980,4938,69
John,1.56,10,28-18,3745,5088,47
Slacked,0.86,-3,18-21,2995,4085,76
Totals,1.06,6,107-101,16115,22038,379
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1,0,6-6,675,1349,1:1
Bance,1,0,7-7,1100,1469,1:0
Brack,4.25,13,17-4,1855,2806,2:1
Joee,0.43,-4,3-7,525,637,1:2
Rated,1.25,1,5-4,830,1218,0:0
Totals,1.36,10,38-28,4985,7479,5:4
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.25,2,10-8,1475,1706,3:1
Formal,0.29,-5,2-7,375,1208,0:1
Gunless,0.86,-1,6-7,725,1713,0:1
John,0.5,-4,4-8,550,1203,0:2
Slacked,0.75,-2,6-8,765,1177,1:0
Totals,0.74,-10,28-38,3890,7007,4:5
