Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.81,-4,17-21,2670,3533,65
Havok,1.58,11,30-19,3935,5111,65
MajorManiak,0.9,-2,19-21,2990,3787,93
Maux,1.29,5,22-17,3450,4755,66
Nagafen,1.63,10,26-16,3970,4806,106
Totals,1.21,20,114-94,17015,21992,395
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.05,1,20-19,3160,3840,81
Aqua,0.54,-12,14-26,2020,3054,69
Jurd,0.64,-9,16-25,2310,3906,52
Loony,0.7,-7,16-23,3155,3998,39
Temp,1.33,7,28-21,4280,5260,66
Totals,0.82,-20,94-114,14925,20058,307
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.4,2,7-5,1100,1302,2:2
Havok,0.83,-1,5-6,640,642,2:1
MajorManiak,2,6,12-6,1600,1925,0:0
Maux,1.67,4,10-6,1400,2333,2:0
Nagafen,1,0,6-6,1500,1652,0:0
Totals,1.38,11,40-29,6240,7854,6:3
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.33,-6,3-9,500,1357,1:1
Aqua,0.75,-2,6-8,675,1244,0:0
Jurd,0.25,-6,2-8,300,738,0:3
Loony,0.88,-1,7-8,1025,1182,1:1
Temp,1.57,4,11-7,1325,2091,1:1
Totals,0.73,-11,29-40,3825,6612,3:6
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.96,-1,23-24,3875,4526,0:0
Havok,0.92,-2,24-26,4100,5314,2:1
MajorManiak,1,0,25-25,3525,5549,1:0
Maux,1.25,4,20-16,3750,4670,0:1
Nagafen,0.7,-8,19-27,3795,4564,0:0
Totals,0.94,-7,111-118,19045,24623,3:2
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1,0,21-21,3515,5656,0:1
Aqua,1,0,21-21,2765,4496,0:1
Jurd,0.96,-1,22-23,3650,5524,0:0
Loony,0.91,-2,20-22,3120,4300,1:0
Temp,1.42,10,34-24,4070,6109,1:1
Totals,1.06,7,118-111,17120,26085,2:3
