OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.89,-2,17-19,2985,4126,76
Dashy,2.5,18,30-12,4290,4815,64
Karma,1.69,11,27-16,3925,4704,74
Scump,0.84,-3,16-19,2825,3691,71
TJHaly,1,0,18-18,2505,4359,64
Totals,1.29,24,108-84,16530,21695,349
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.7,-7,16-23,2175,2883,33
Seany,0.86,-3,19-22,2410,3525,58
Tommey,0.6,-10,15-25,2080,4202,49
Wuskin,0.83,-3,15-18,1655,3762,18
Zed,0.95,-1,19-20,2800,4121,55
Totals,0.78,-24,84-108,11120,18493,213
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,0.85,0.85,-6,34-40,6330,8704
Dashy,1.58,1.65,20,51-31,7335,9185
Karma,1.4,1.43,15,50-35,7475,9678
Scump,1.14,1.11,4,40-36,7015,8302
TJHaly,1.2,1.18,7,46-39,7080,9920
Totals,1.21,1.22,40,221-181,35235,45789
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Dylan,0.81,0.8,-9,36-45,6185,7729
Seany,0.73,0.74,-12,34-46,4885,7446
Tommey,0.6,0.6,-21,32-53,4080,8604
Wuskin,1.02,1,0,37-37,4555,7989
Zed,1.06,1.05,2,42-40,6050,8868
Totals,0.82,0.82,-40,181-221,25755,40636
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.81,-4,17-21,3345,4578,0:0
Dashy,1.11,2,21-19,3045,4370,0:0
Karma,1.21,4,23-19,3550,4974,1:1
Scump,1.41,7,24-17,4190,4611,0:0
TJHaly,1.33,7,28-21,4575,5561,1:1
Totals,1.16,16,113-97,18705,24094,2:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.91,-2,20-22,4010,4846,1:0
Seany,0.63,-9,15-24,2475,3921,0:0
Tommey,0.61,-11,17-28,2000,4402,0:2
Wuskin,1.16,3,22-19,2900,4227,0:0
Zed,1.15,3,23-20,3250,4747,1:0
Totals,0.86,-16,97-113,14635,22143,2:2
