100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.14,2,16-14,2390,2995,56
Kenny,1.4,6,21-15,3270,3868,67
Octane,1.46,6,19-13,3475,4201,119
Priestahh,1.5,8,24-16,3745,4258,77
Slasher,1.47,8,25-17,3075,5621,23
Totals,1.4,30,105-75,15955,20943,342
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.95,-1,18-19,3175,3910,44
General,0.52,-10,11-21,1945,3181,29
GodRx,1.05,1,20-19,2835,4633,15
Jetli,0.68,-7,15-22,2030,3514,23
Kismet,0.46,-13,11-24,1730,2873,29
Totals,0.71,-30,75-105,11715,18111,140
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.88,-1,7-8,1025,1607,2:0
Kenny,0.38,-5,3-8,550,1234,0:4
Octane,0.63,-3,5-8,525,1387,0:2
Priestahh,0.63,-3,5-8,650,1081,0:1
Slasher,1.33,2,8-6,1325,2094,0:0
Totals,0.74,-10,28-38,4075,7403,2:7
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.33,2,8-6,1050,1679,3:0
General,1.6,3,8-5,1400,2219,0:0
GodRx,2.5,6,10-4,1175,2177,1:0
Jetli,1.6,3,8-5,1230,1498,3:2
Kismet,0.5,-4,4-8,820,1172,0:0
Totals,1.36,10,38-28,5675,8745,7:2
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.65,-6,11-17,2140,3071,0:2
Kenny,0.94,-1,17-18,2755,3479,1:0
Octane,2,12,24-12,3580,4999,0:0
Priestahh,1.29,5,22-17,3325,4315,0:0
Slasher,1.29,5,22-17,3600,4730,0:1
Totals,1.19,15,96-81,15400,20594,1:3
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.9,-2,18-20,2425,3718,0:0
General,1.11,2,20-18,3050,3924,2:0
GodRx,0.88,-2,15-17,2805,3612,0:0
Jetli,0.41,-13,9-22,1625,2154,0:1
Kismet,0.95,-1,19-20,2570,3707,1:0
Totals,0.84,-16,81-97,12475,17115,3:1
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.29,5,22-17,3050,3807,44
Kenny,1.39,7,25-18,3825,4429,46
Octane,2.2,18,33-15,4650,5787,80
Priestahh,1,0,17-17,3220,3573,79
Slasher,1.14,3,24-21,4155,4661,92
Totals,1.38,33,121-88,18900,22257,341
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.92,-2,22-24,2885,3590,26
General,0.83,-4,20-24,2790,4570,12
GodRx,0.67,-8,16-24,2145,3563,19
Jetli,0.63,-9,15-24,2250,3282,13
Kismet,0.6,-10,15-25,2130,4020,46
Totals,0.73,-33,88-121,12200,19025,116
