Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.7,-6,14-20,2475,3478,23
MRuiz,0.88,-2,14-16,2380,2810,27
Profeezy,0.94,-1,17-18,2645,3736,43
Skyz,1.06,1,19-18,2895,3816,65
Wailers,0.71,-5,12-17,1945,3332,34
Totals,0.85,-13,76-89,12340,17172,192
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.12,2,19-17,3610,4427,74
Lucky,1.85,11,24-13,2940,4711,20
MethodZsick,0.88,-2,15-17,2320,3098,71
Mettalz,1,0,14-14,2005,2992,76
Sukry,1.13,2,17-15,3065,4157,111
Totals,1.17,13,89-76,13940,19385,352
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.86,-1,6-7,990,1752,2:2
MRuiz,1,0,6-6,775,1523,0:0
Profeezy,1.67,4,10-6,1600,1392,3:1
Skyz,1.33,2,8-6,1250,2742,1:1
Wailers,0.43,-4,3-7,685,1343,0:1
Totals,1.03,1,33-32,5300,8752,6:5
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.5,3,9-6,1420,1889,1:3
Lucky,0.71,-2,5-7,725,1334,2:0
MethodZsick,0.5,-4,4-8,1175,1254,1:2
Mettalz,1.29,2,9-7,1225,1787,1:1
Sukry,1,0,5-5,750,1110,0:0
Totals,0.97,-1,32-33,5295,7374,5:6
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.77,-6,20-26,3295,5134,0:0
MRuiz,1.14,3,25-22,3235,4468,0:0
Profeezy,1.55,11,31-20,4850,5739,3:0
Skyz,0.68,-8,17-25,3725,5073,1:1
Wailers,1.47,9,28-19,4005,5355,0:0
Totals,1.08,9,121-112,19110,25769,4:1
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.04,1,26-25,4180,5066,0:0
Lucky,0.92,-2,22-24,3570,4697,1:1
MethodZsick,0.73,-7,19-26,3425,4364,0:2
Mettalz,1.04,1,26-25,4075,5630,0:0
Sukry,0.79,-5,19-24,2775,5268,0:1
Totals,0.9,-12,112-124,18025,25025,1:4
