Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.35,9,35-26,6080,8415,97
Knight,0.76,-6,19-25,3345,4011,106
Lacefield,1.26,6,29-23,4470,5794,74
LlamaGod,0.72,-8,21-29,3485,4909,49
Parasite,1.7,14,34-20,4780,6007,85
Totals,1.12,15,138-123,22160,29136,411
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.25,7,35-28,4865,6983,52
Methodz,0.8,-6,24-30,3780,5253,66
Parzelion,1.12,3,28-25,4175,5893,67
Proto,0.58,-11,15-26,3205,3622,115
Royalty,0.72,-8,21-29,3640,3931,127
Totals,0.89,-15,123-138,19665,25682,427
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.8,-2,8-10,900,2066,2:2
Knight,1,0,7-7,1450,1602,0:0
Lacefield,1,0,10-10,1275,2189,4:1
LlamaGod,1.5,3,9-6,1175,1623,1:0
Parasite,1,0,8-8,1175,1435,1:0
Totals,1.02,1,42-41,5975,8915,8:3
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.5,-5,5-10,725,1817,1:3
Methodz,0.5,-4,4-8,900,1541,1:3
Parzelion,1.67,6,15-9,2075,2790,0:0
Proto,1,0,8-8,1380,1242,1:1
Royalty,1.13,1,9-8,1050,1894,0:1
Totals,0.95,-2,41-43,6130,9284,3:8
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.11,2,21-19,2945,3663,0:0
Knight,0.43,-12,9-21,1940,2451,0:0
Lacefield,1.13,2,18-16,2675,3279,0:4
LlamaGod,0.76,-5,16-21,2410,3908,0:0
Parasite,0.82,-3,14-17,2425,3576,0:1
Totals,0.83,-16,78-94,12395,16877,0:5
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.31,4,17-13,2800,3769,0:0
Methodz,1.77,10,23-13,3140,4491,1:0
Parzelion,0.94,-1,15-16,2890,3673,0:0
Proto,1.12,2,19-17,2665,3126,1:0
Royalty,1,0,20-20,2600,4540,3:0
Totals,1.19,15,94-79,14095,19599,5:0
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.86,-4,24-28,2950,5099,13
Knight,0.55,-10,12-22,2600,2831,66
Lacefield,1.15,3,23-20,3295,5101,62
LlamaGod,0.75,-6,18-24,2455,4499,25
Parasite,1.5,9,27-18,4025,4600,88
Totals,0.93,-8,104-112,15325,22130,254
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.44,8,26-18,3465,5140,42
Methodz,1.17,3,21-18,3885,4712,138
Parzelion,0.83,-4,19-23,2360,5250,29
Proto,0.91,-2,20-22,2805,4177,93
Royalty,1.08,2,26-24,3490,4862,54
Totals,1.07,7,112-105,16005,24141,356
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.33,2,8-6,1000,1778,0:1
Knight,2,4,8-4,1345,1572,1:0
Lacefield,1,0,6-6,825,891,0:2
LlamaGod,1.5,3,9-6,1300,2175,2:2
Parasite,0.5,-3,3-6,800,1101,0:1
Totals,1.21,6,34-28,5270,7517,3:6
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.86,-1,6-7,900,1653,3:0
Methodz,1.33,2,8-6,1100,2144,0:2
Parzelion,0.43,-4,3-7,550,1885,0:0
Proto,0.71,-2,5-7,595,1122,1:1
Royalty,0.75,-2,6-8,850,1347,2:0
Totals,0.8,-7,28-35,3995,8151,6:3
