Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.9,-3,28-31,4015,5906,72
Formal,1.1,3,32-29,4390,5937,31
Gunless,1.18,5,33-28,4945,6632,38
John,0.9,-3,26-29,3825,5548,72
Slacked,1.13,4,34-30,5140,6231,100
Totals,1.04,6,153-147,22315,30254,313
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.93,-2,27-29,3950,6195,70
Aqua,0.84,-5,26-31,4085,6295,67
Jurd,0.76,-9,29-38,3570,5105,33
Loony,0.83,-5,25-30,3730,6322,50
Temp,1.6,15,40-25,5190,7693,69
Totals,0.96,-6,147-153,20525,31610,289
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.13,1,9-8,1625,2028,0:0
Formal,1.25,2,10-8,1625,2101,3:2
Gunless,0.67,-3,6-9,900,1673,1:2
John,0.67,-3,6-9,1075,2146,1:1
Slacked,2.2,6,11-5,1660,2078,1:0
Totals,1.08,3,42-39,6885,10026,6:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.25,2,10-8,1450,2535,0:0
Aqua,0.78,-2,7-9,875,1929,1:1
Jurd,0.45,-6,5-11,675,1195,1:2
Loony,1.57,4,11-7,1500,2121,3:2
Temp,0.63,-3,5-8,875,1993,0:1
Totals,0.88,-5,38-43,5375,9773,5:6
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.86,-3,18-21,3400,4189,2:1
Formal,0.8,-4,16-20,2525,3901,0:0
Gunless,1.4,8,28-20,4000,5013,0:0
John,0.75,-6,18-24,2585,3837,0:0
Slacked,0.61,-9,14-23,2100,3896,0:1
Totals,0.87,-14,94-108,14610,20836,2:2
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.18,3,20-17,3215,4606,0:0
Aqua,1.59,10,27-17,4160,5128,1:0
Jurd,1.2,4,24-20,3475,4570,0:1
Loony,0.89,-2,17-19,3010,3980,0:0
Temp,0.95,-1,20-21,2475,4766,1:1
Totals,1.15,14,108-94,16335,23050,2:2
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.92,-2,24-26,3665,5077,27
Formal,0.73,-7,19-26,2925,4947,67
Gunless,0.91,-2,20-22,2735,4102,65
John,0.88,-3,21-24,3495,4334,52
Slacked,0.6,-10,15-25,2675,3946,51
Totals,0.8,-24,99-123,15495,22406,262
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.12,2,19-17,4090,5171,65
Aqua,1.12,2,19-17,3225,4451,65
Jurd,1.55,12,34-22,4595,4754,84
Loony,1.2,4,24-20,4075,4007,97
Temp,1.13,3,26-23,4250,5884,80
Totals,1.23,23,122-99,20235,24267,391
