Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.1,2,23-21,3565,5167,54
Bance,0.71,-7,17-24,2480,4006,51
Brack,1.43,9,30-21,3720,4950,103
Joee,0.91,-2,21-23,3270,4052,28
Rated,0.81,-4,17-21,2620,4106,61
Totals,0.98,-2,108-110,15655,22281,297
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.32,6,25-19,3695,4863,95
Havok,1.09,2,25-23,4030,5077,72
MajorManiak,1.05,1,22-21,3415,4531,72
Maux,0.95,-1,19-20,3110,4188,50
Nagafen,0.76,-6,19-25,2795,3898,111
Totals,1.02,2,110-108,17045,22557,400
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.71,-2,5-7,1250,1730,1:1
Bance,1,0,8-8,1350,1883,1:2
Brack,1.14,1,8-7,1125,1981,1:0
Joee,1.83,5,11-6,1315,1614,2:0
Rated,1,0,7-7,1195,1248,0:3
Totals,1.11,4,39-35,6235,8456,5:6
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.5,-4,4-8,625,1293,0:2
Havok,0.9,-1,9-10,1000,1709,3:2
MajorManiak,1.43,3,10-7,1575,3370,1:0
Maux,0.75,-2,6-8,775,1511,1:0
Nagafen,0.75,-2,6-8,1135,1324,1:1
Totals,0.85,-6,35-41,5110,9207,6:5
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.06,1,17-16,2325,3144,1:0
Bance,0.55,-10,12-22,2300,3064,1:0
Brack,1.06,1,18-17,2575,3536,0:0
Joee,0.48,-11,10-21,1485,2842,0:2
Rated,0.83,-3,15-18,2025,4168,0:0
Totals,0.77,-22,72-94,10710,16754,2:2
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2,10,20-10,3215,4233,0:1
Havok,0.73,-4,11-15,1675,2572,0:1
MajorManiak,1.31,5,21-16,2920,4708,1:0
Maux,2.33,16,28-12,3890,4745,1:0
Nagafen,0.74,-5,14-19,2845,3254,0:0
Totals,1.31,22,94-72,14545,19512,2:2
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.53,-8,9-17,2095,2492,31
Bance,0.38,-13,8-21,1405,1990,20
Brack,0.81,-3,13-16,2140,2900,40
Joee,0.89,-2,16-18,2270,2928,20
Rated,0.53,-9,10-19,1660,3089,34
Totals,0.62,-35,56-91,9570,13399,145
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.92,11,23-12,3430,4265,45
Havok,1.21,3,17-14,2865,3873,58
MajorManiak,2.3,13,23-10,2905,4432,62
Maux,1.1,1,11-10,1860,2859,60
Nagafen,1.55,6,17-11,2365,3446,113
Totals,1.6,34,91-57,13425,18875,338
