FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.75,-6,18-24,2590,4087,83
Cellium,0.95,-1,20-21,3245,4490,58
Skrapz,0.85,-4,22-26,3525,4664,70
Zer0,1,0,20-20,4315,6094,57
Zoomaa,1,0,26-26,3735,4809,45
Totals,0.91,-11,106-117,17410,24144,313
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.18,4,26-22,3975,6218,94
Decemate,1.3,6,26-20,3690,5350,54
Fero,0.64,-8,14-22,2945,4251,90
Huke,1.94,15,31-16,4760,4312,148
Silly,0.77,-6,20-26,3310,4827,50
Totals,1.1,11,117-106,18680,24958,436
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.6,3,8-5,1340,1199,0:1
Cellium,3,6,9-3,1600,2192,1:0
Skrapz,1.5,3,9-6,1375,1826,4:0
Zer0,0.5,-3,3-6,300,933,0:2
Zoomaa,1,0,7-7,1000,1130,0:1
Totals,1.33,9,36-27,5615,7280,5:4
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.5,-4,4-8,600,1684,0:2
Decemate,0.38,-5,3-8,500,1191,1:1
Fero,0.71,-2,5-7,625,1703,1:0
Huke,1.29,2,9-7,1350,1418,2:1
Silly,0.86,-1,6-7,1250,1475,0:1
Totals,0.73,-10,27-37,4325,7471,4:5
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.17,3,21-18,3350,4444,0:1
Cellium,1.46,6,19-13,3510,4340,0:0
Skrapz,0.75,-4,12-16,2500,3314,0:0
Zer0,1.42,5,17-12,3235,3749,0:1
Zoomaa,1.43,6,20-14,3170,3712,0:1
Totals,1.22,16,89-73,15765,19559,0:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.13,2,17-15,2855,4378,2:0
Decemate,0.65,-6,11-17,1775,2195,0:0
Fero,0.78,-4,14-18,2540,3449,1:0
Huke,0.85,-3,17-20,2000,3188,0:0
Silly,0.74,-5,14-19,2225,3973,0:0
Totals,0.82,-16,73-89,11395,17183,3:0
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.14,4,33-29,4830,5657,74
Cellium,1.28,7,32-25,5065,6117,115
Skrapz,1.6,15,40-25,5465,7331,64
Zer0,0.93,-2,26-28,3595,5948,50
Zoomaa,0.96,-1,27-28,5155,5687,109
Totals,1.17,23,158-135,24110,30740,412
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.52,-16,17-33,3230,5034,66
Decemate,0.6,-12,18-30,3460,4717,36
Fero,1.09,3,35-32,4855,6576,86
Huke,0.97,-1,31-32,4385,5768,71
Silly,1.06,2,34-32,5235,6129,54
Totals,0.85,-24,135-159,21165,28224,313
