Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Classic,0.97,0.92,-6,72-78,10945,15409
Formal,0.73,0.94,-4,65-69,10825,15877
Gunless,1.01,1.01,1,79-78,11050,17608
John,0.86,1.04,3,83-80,11640,16433
Slacked,0.71,0.78,-18,64-82,9845,13348
Totals,0.86,0.94,-24,363-387,54305,78675
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.03,0.94,-3,47-50,7645,9361
Havok,1.07,1.16,8,59-51,8675,11067
MajorManiak,1.27,1.08,4,56-52,8115,11261
Maux,1.42,1.33,13,52-39,8600,11758
Nagafen,1,1.04,2,51-49,9265,11022
Totals,1.15,1.1,24,265-241,42300,54469
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Classic,0.97,0.92,-6,72-78,10945,15409
Formal,0.73,0.94,-4,65-69,10825,15877
Gunless,1.01,1.01,1,79-78,11050,17608
John,0.86,1.04,3,83-80,11640,16433
Slacked,0.71,0.78,-18,64-82,9845,13348
Totals,0.86,0.94,-24,363-387,54305,78675
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.03,0.94,-3,47-50,7645,9361
Havok,1.07,1.16,8,59-51,8675,11067
MajorManiak,1.27,1.08,4,56-52,8115,11261
Maux,1.42,1.33,13,52-39,8600,11758
Nagafen,1,1.04,2,51-49,9265,11022
Totals,1.15,1.1,24,265-241,42300,54469
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Classic,0.97,0.92,-6,72-78,10945,15409
Formal,0.73,0.94,-4,65-69,10825,15877
Gunless,1.01,1.01,1,79-78,11050,17608
John,0.86,1.04,3,83-80,11640,16433
Slacked,0.71,0.78,-18,64-82,9845,13348
Totals,0.86,0.94,-24,363-387,54305,78675
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.03,0.94,-3,47-50,7645,9361
Havok,1.07,1.16,8,59-51,8675,11067
MajorManiak,1.27,1.08,4,56-52,8115,11261
Maux,1.42,1.33,13,52-39,8600,11758
Nagafen,1,1.04,2,51-49,9265,11022
Totals,1.15,1.1,24,265-241,42300,54469
