eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.64,-9,16-25,2725,3410,34
Arcitys,1.25,4,20-16,3350,4978,73
Clayster,0.95,-1,21-22,3210,4020,80
Prestinni,0.58,-11,15-26,2470,4076,35
Simp,1.19,4,25-21,3605,4860,71
Totals,0.88,-13,97-110,15360,21344,293
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1,0,21-21,3720,4444,79
Attach,2.21,17,31-14,4695,5286,114
JKap,0.81,-4,17-21,2880,3619,59
Phantomz,1,0,20-20,3350,5114,98
Xotic,1,0,21-21,3245,4476,50
Totals,1.13,13,110-97,17890,22939,400
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.75,-1,3-4,500,778,0:0
Arcitys,1.67,2,5-3,650,1345,1:0
Clayster,1.33,1,4-3,425,740,0:2
Prestinni,3,6,9-3,1250,1647,2:0
Simp,8,7,8-1,1225,788,1:0
Totals,2.07,15,29-14,4050,5298,4:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.33,-4,2-6,200,599,0:3
Attach,0.83,-1,5-6,650,1044,0:0
JKap,0.5,-3,3-6,425,1073,2:0
Phantomz,0.33,-4,2-6,225,721,0:0
Xotic,0.33,-4,2-6,255,797,0:1
Totals,0.47,-16,14-30,1755,4234,2:4
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,2.2,12,22-10,3185,3410,0:0
Arcitys,1.63,5,13-8,2120,2744,1:0
Clayster,1.09,1,12-11,2290,2722,1:0
Prestinni,1.21,3,17-14,2530,3812,1:0
Simp,1.71,5,12-7,2050,2748,0:0
Totals,1.52,26,76-50,12175,15436,3:0
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.65,-6,11-17,1250,2169,0:2
Attach,0.5,-7,7-14,1250,1933,0:0
JKap,0.83,-2,10-12,1410,1893,0:0
Phantomz,0.67,-5,10-15,1375,3339,0:0
Xotic,0.67,-6,12-18,1255,2761,0:1
Totals,0.66,-26,50-76,6540,12095,0:3
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.22,5,28-23,4380,5595,79
Arcitys,1.75,12,28-16,4370,6057,60
Clayster,1.4,8,28-20,4525,5448,105
Prestinni,0.89,-3,24-27,4045,5726,63
Simp,1.29,6,27-21,4085,4906,83
Totals,1.26,28,135-107,21405,27732,390
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.86,-4,24-28,3890,4589,53
Attach,0.93,-2,25-27,3955,5481,32
JKap,0.72,-8,21-29,3220,3974,41
Phantomz,0.68,-7,15-22,2995,4641,68
Xotic,0.76,-7,22-29,3555,4536,64
Totals,0.79,-28,107-135,17615,23221,258
