Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.48,10,31-21,4875,5858,78
General,1.18,4,26-22,4225,5146,113
GodRx,1.42,10,34-24,4285,5963,48
Jetli,0.85,-4,22-26,3005,4495,39
Kismet,0.79,-6,23-29,3555,5431,49
Totals,1.11,14,136-122,19945,26893,327
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.89,-3,25-28,3870,5267,80
Seany,0.82,-5,23-28,3225,5037,47
Tommey,0.76,-6,19-25,3080,5395,98
Wuskin,0.89,-3,24-27,3345,3992,32
Zed,1.07,2,31-29,4345,5176,81
Totals,0.89,-15,122-137,17865,24867,338
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.25,1,5-4,750,1047,0:0
General,5,8,10-2,1325,1835,1:0
GodRx,1.5,2,6-4,875,1136,2:0
Jetli,1.5,2,6-4,880,846,0:0
Kismet,1.25,1,5-4,725,826,1:3
Totals,1.78,14,32-18,4555,5690,4:3
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1,0,6-6,1030,721,2:0
Seany,0.8,-1,4-5,500,1272,0:0
Tommey,0.29,-5,2-7,325,617,0:0
Wuskin,0.43,-4,3-7,450,842,0:2
Zed,0.43,-4,3-7,400,704,1:2
Totals,0.56,-14,18-32,2705,4156,3:4
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.73,11,26-15,4050,4945,2:0
General,1.14,3,25-22,4000,6420,0:1
GodRx,1.26,6,29-23,4030,5003,0:1
Jetli,0.45,-17,14-31,2250,3842,0:0
Kismet,0.96,-1,25-26,3750,6062,0:1
Totals,1.02,2,119-117,18080,26272,2:3
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.92,-2,24-26,4445,5097,0:0
Seany,0.91,-2,20-22,3650,5161,1:1
Tommey,1.37,7,26-19,3475,5415,1:0
Wuskin,1.13,3,27-24,3675,5633,1:0
Zed,0.71,-8,20-28,3075,4954,0:1
Totals,0.98,-2,117-119,18320,26260,3:2
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.11,2,20-18,3495,4426,44
General,1.11,2,20-18,3080,4649,87
GodRx,1.11,2,21-19,3250,4366,71
Jetli,1.56,10,28-18,4125,5102,81
Kismet,1,0,23-23,3130,4498,38
Totals,1.17,16,112-96,17080,23041,321
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.14,3,24-21,3815,4737,71
Seany,0.74,-6,17-23,2265,4426,46
Tommey,0.7,-7,16-23,2365,3778,56
Wuskin,1,0,20-20,3065,3937,48
Zed,0.76,-6,19-25,2450,4628,10
Totals,0.86,-16,96-112,13960,21506,231
