Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.25,4,20-16,2605,4266,37
Lucky,0.95,-1,18-19,2520,4502,30
MethodZsick,0.83,-4,19-23,2730,3515,54
Mettalz,0.89,-2,16-18,2905,4325,80
Sukry,1.29,4,18-14,3315,3863,131
Totals,1.01,1,91-90,14075,20471,332
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.74,-5,14-19,2390,4525,21
Knight,1.31,5,21-16,2920,3272,30
Lacefield,1.06,1,17-16,2430,3482,89
LlamaGod,1.18,3,20-17,2770,4032,18
Parasite,0.78,-5,18-23,2200,3832,39
Totals,0.99,-1,90-91,12710,19143,197
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.83,5,11-6,1605,1800,0:1
Lucky,0.38,-5,3-8,365,1028,1:2
MethodZsick,0.71,-2,5-7,675,1014,1:0
Mettalz,0.22,-7,2-9,325,1714,0:2
Sukry,0.29,-5,2-7,350,780,0:2
Totals,0.62,-14,23-37,3320,6336,2:7
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,4,9,12-3,1600,2493,0:1
Knight,0.5,-3,3-6,450,854,0:0
Lacefield,1,0,5-5,970,1184,2:0
LlamaGod,1.25,1,5-4,1245,1241,2:1
Parasite,2.2,6,11-5,1375,2024,3:0
Totals,1.57,13,36-23,5640,7796,7:2
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.2,2,12-10,2420,2796,0:0
Lucky,1.56,5,14-9,2255,2299,0:0
MethodZsick,1.08,1,13-12,1700,2589,1:0
Mettalz,1.43,3,10-7,1775,1808,0:0
Sukry,1.1,1,11-10,1605,3282,0:1
Totals,1.25,12,60-48,9755,12774,1:1
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.46,-7,6-13,1200,1669,0:1
Knight,0.55,-5,6-11,1175,1775,0:0
Lacefield,0.77,-3,10-13,1300,2111,0:0
LlamaGod,1.08,1,13-12,1530,2094,0:0
Parasite,1.18,2,13-11,1400,2306,1:0
Totals,0.8,-12,48-60,6605,9955,1:1
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,2.78,16,25-9,3150,4589,104
Lucky,1.23,3,16-13,2890,2982,102
MethodZsick,0.75,-4,12-16,2145,2810,48
Mettalz,1.93,13,27-14,3685,4458,54
Sukry,0.63,-6,10-16,1765,2585,87
Totals,1.32,22,90-68,13635,17424,395
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.61,-7,11-18,1730,3507,30
Knight,0.89,-2,16-18,2225,3013,15
Lacefield,0.94,-1,17-18,2200,3037,48
LlamaGod,0.74,-5,14-19,1610,3263,23
Parasite,0.59,-7,10-17,2060,2815,61
Totals,0.76,-22,68-90,9825,15635,177
