Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.62,-10,16-26,3255,5151,101
MRuiz,1.05,1,22-21,3030,4836,69
Profeezy,1.04,1,25-24,3315,4659,36
Skyz,1.94,16,33-17,5620,6768,115
Wailers,1,0,22-22,3830,4557,85
Totals,1.07,8,118-110,19050,25971,406
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.26,6,29-23,3670,5579,83
Methodz,0.48,-14,13-27,1615,4486,26
Parzelion,1.26,5,24-19,3965,4973,62
Proto,0.96,-1,22-23,3375,4166,78
Royalty,0.85,-4,22-26,3580,4770,97
Totals,0.93,-8,110-118,16205,23974,346
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.29,-5,2-7,250,792,1:2
MRuiz,0.29,-5,2-7,225,568,0:1
Profeezy,0.71,-2,5-7,880,1377,0:1
Skyz,1.2,1,6-5,725,1734,1:0
Wailers,0.43,-4,3-7,450,880,0:0
Totals,0.55,-15,18-33,2530,5351,2:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.25,1,5-4,750,1427,0:0
Methodz,6.5,11,13-2,1745,2094,0:0
Parzelion,1.33,1,4-3,1000,1612,1:0
Proto,1.67,2,5-3,700,1010,1:0
Royalty,0.83,-1,5-6,750,1614,2:2
Totals,1.78,14,32-18,4945,7757,4:2
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.63,-7,12-19,1575,2586,0:0
MRuiz,0.61,-7,11-18,1550,2625,0:0
Profeezy,0.61,-7,11-18,1950,2441,0:1
Skyz,0.93,-1,13-14,1975,3229,0:1
Wailers,1,0,11-11,1675,2399,1:1
Totals,0.73,-22,58-80,8725,13280,1:3
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.42,5,17-12,2600,3632,0:0
Methodz,2.83,11,17-6,3050,4095,0:0
Parzelion,1.08,1,13-12,2400,3291,1:0
Proto,1.21,3,17-14,2600,3321,1:0
Royalty,1.14,2,16-14,1900,3191,1:1
Totals,1.38,22,80-58,12550,17530,3:1
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.2,5,30-25,4105,5308,54
MRuiz,0.84,-4,21-25,4080,5639,71
Profeezy,0.63,-10,17-27,3300,3759,99
Skyz,1,0,23-23,3890,5094,91
Wailers,0.95,-1,21-22,3920,5488,97
Totals,0.92,-10,112-122,19295,25288,412
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.7,14,34-20,4990,6717,59
Methodz,0.96,-1,24-25,3235,5570,44
Parzelion,1.16,3,22-19,4040,5744,75
Proto,0.64,-8,14-22,2545,3356,58
Royalty,1.08,2,28-26,4070,5683,111
Totals,1.09,10,122-112,18880,27070,347
