Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.89,-3,25-28,3935,5343,82
Bance,1.2,5,30-25,5015,5761,46
Brack,1,0,23-23,3945,5217,110
Joee,0.79,-6,22-28,3530,5072,41
Rated,1.67,12,30-18,3780,4754,113
Totals,1.07,8,130-122,20205,26147,392
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.04,1,27-26,4075,6496,67
Knight,1.1,2,23-21,3380,4463,52
Lacefield,0.79,-5,19-24,3155,3820,81
LlamaGod,1,0,30-30,4575,5308,57
Parasite,0.74,-8,23-31,2890,4877,29
Totals,0.92,-10,122-132,18075,24964,286
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.25,-6,2-8,325,366,0:4
Bance,0.29,-5,2-7,350,811,0:1
Brack,1.29,2,9-7,1025,1732,1:0
Joee,1.14,1,8-7,1410,1839,0:2
Rated,1,0,6-6,780,1385,0:1
Totals,0.77,-8,27-35,3890,6133,1:8
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1,0,7-7,1000,2421,3:1
Knight,0.57,-3,4-7,625,1292,0:0
Lacefield,1.6,3,8-5,1025,1746,2:0
LlamaGod,2.2,6,11-5,1440,1721,3:0
Parasite,1.25,1,5-4,1050,1242,0:0
Totals,1.25,7,35-28,5140,8422,8:1
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.17,2,14-12,2425,3315,0:0
Bance,0.56,-8,10-18,1600,2740,0:0
Brack,0.65,-7,13-20,1550,2858,1:0
Joee,0.73,-4,11-15,1480,2339,1:1
Rated,0.71,-4,10-14,1550,2939,0:0
Totals,0.73,-21,58-79,8605,14191,2:1
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.36,5,19-14,3275,4535,0:1
Knight,1.18,2,13-11,2505,2409,0:1
Lacefield,1.6,6,16-10,2775,2992,0:0
LlamaGod,0.92,-1,12-13,2205,2798,1:0
Parasite,1.9,9,19-10,3485,3944,0:0
Totals,1.36,21,79-58,14245,16678,1:2
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.9,-2,19-21,2555,4635,29
Bance,0.79,-5,19-24,2760,3827,103
Brack,0.85,-3,17-20,2670,3787,95
Joee,0.6,-10,15-25,2160,3396,30
Rated,0.85,-3,17-20,2590,3971,55
Totals,0.79,-23,87-110,12735,19616,312
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.37,7,26-19,3520,4960,61
Knight,0.67,-6,12-18,3440,2762,85
Lacefield,1,0,17-17,3130,4080,105
LlamaGod,2,14,28-14,3495,5660,51
Parasite,1.42,8,27-19,3575,4883,90
Totals,1.26,23,110-87,17160,22345,392
