Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1.56,15,42-27,5900,6947,93
Attach,1,0,29-29,3995,6709,29
JKap,0.65,-12,22-34,4050,5658,63
Phantomz,1.05,1,23-22,4010,5702,47
Xotic,0.84,-5,26-31,4195,5436,80
Totals,0.99,-1,142-143,22150,30452,312
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.25,7,35-28,4720,5922,64
Seany,0.52,-13,14-27,3065,5052,79
Tommey,1.14,4,33-29,5110,6820,110
Wuskin,1.15,4,30-26,4620,5387,79
Zed,0.97,-1,31-32,4635,6143,52
Totals,1.01,1,143-142,22150,29324,384
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,1.33,2,8-6,1025,1411,1:1
Attach,1.14,1,8-7,1275,1558,2:0
JKap,1.2,1,6-5,1290,1238,2:1
Phantomz,0.5,-2,2-4,700,1174,0:0
Xotic,1.57,4,11-7,1870,1651,2:0
Totals,1.21,6,35-29,6160,7032,7:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.71,-2,5-7,1000,1081,1:5
Seany,1.33,2,8-6,875,1808,0:0
Tommey,1.14,1,8-7,950,1552,1:0
Wuskin,0.71,-2,5-7,700,1246,0:1
Zed,0.38,-5,3-8,200,816,0:1
Totals,0.83,-6,29-35,3725,6503,2:7
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.65,-7,13-20,1925,2405,0:1
Attach,0.76,-4,13-17,2175,3293,0:0
JKap,1.06,1,17-16,2690,3590,0:0
Phantomz,0.86,-2,12-14,1875,3564,0:0
Xotic,0.76,-4,13-17,1685,2778,1:1
Totals,0.81,-16,68-84,10350,15630,1:2
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.88,-2,14-16,2950,3177,0:0
Seany,1.31,4,17-13,2525,3512,1:0
Tommey,1.57,8,22-14,3300,4803,0:0
Wuskin,1.8,8,18-10,2940,3130,0:0
Zed,0.75,-4,12-16,1800,2542,1:1
Totals,1.2,14,83-69,13515,17164,2:1
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.96,-1,22-23,3115,4780,19
Attach,0.83,-4,20-24,3215,3964,74
JKap,0.71,-7,17-24,2580,4337,17
Phantomz,1.12,2,19-17,3090,4699,88
Xotic,1.28,5,23-18,3120,4822,55
Totals,0.95,-5,101-106,15120,22602,253
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.2,4,24-20,3585,4575,79
Seany,1.11,2,21-19,3455,4314,104
Tommey,1.39,7,25-18,3410,5350,77
Wuskin,0.65,-7,13-20,2070,3533,52
Zed,0.96,-1,23-24,3310,4671,42
Totals,1.05,5,106-101,15830,22443,354
