Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.53,10,29-19,4380,5720,107
Havok,0.7,-7,16-23,3035,3818,86
MajorManiak,1.3,6,26-20,3990,5307,106
Maux,0.95,-1,18-19,2740,4597,29
Nagafen,1.37,7,26-19,3455,4128,102
Totals,1.15,15,115-100,17600,23570,430
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.75,-6,18-24,3295,4729,33
Methodz,0.56,-11,14-25,2180,4040,25
Parzelion,1,0,21-21,3385,4330,73
Proto,0.81,-4,17-21,2540,3138,57
Royalty,1.25,6,30-24,4485,4780,62
Totals,0.87,-15,100-115,15885,21017,250
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.5,6,10-4,1075,1520,1:1
Havok,0.6,-2,3-5,440,749,0:1
MajorManiak,1.33,2,8-6,900,1411,1:1
Maux,3,6,9-3,1575,1701,1:0
Nagafen,0.5,-3,3-6,425,795,1:0
Totals,1.38,9,33-24,4415,6176,4:3
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.57,-3,4-7,500,1115,1:1
Methodz,0.43,-4,3-7,400,992,0:0
Parzelion,0.71,-2,5-7,575,775,0:1
Proto,0.57,-3,4-7,450,962,0:0
Royalty,1.33,2,8-6,1175,1696,2:2
Totals,0.71,-10,24-34,3100,5540,3:4
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.55,6,17-11,2875,3174,0:0
Havok,1.07,1,15-14,2825,3655,1:0
MajorManiak,1.91,10,21-11,2825,3919,1:1
Maux,0.8,-3,12-15,2000,3009,0:0
Nagafen,0.86,-2,12-14,2655,2459,0:0
Totals,1.18,12,77-65,13180,16216,2:1
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.67,-5,10-15,1600,2498,0:0
Methodz,0.94,-1,16-17,1900,4161,1:0
Parzelion,0.79,-3,11-14,1600,2470,0:0
Proto,1.14,2,16-14,2050,2585,0:1
Royalty,0.71,-5,12-17,1550,3002,0:1
Totals,0.84,-12,65-77,8700,14716,1:2
