100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.15,4,30-26,4480,5751,41
Kenny,1,0,31-31,4895,5585,39
Octane,1.6,12,32-20,5830,6955,119
Priestahh,1.1,3,33-30,4870,6339,71
Slasher,1.17,5,34-29,4935,6346,88
Totals,1.18,24,160-136,25010,30976,358
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1,0,31-31,4305,6293,69
Arcitys,1.14,4,32-28,5030,5898,68
Clayster,0.78,-7,25-32,4060,4842,75
Prestinni,0.5,-19,19-38,3385,5426,37
Simp,0.94,-2,29-31,3895,6472,85
Totals,0.85,-24,136-160,20675,28931,334
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.8,4,9-5,1085,1555,1:0
Kenny,1.83,5,11-6,1575,1825,3:0
Octane,1.2,1,6-5,925,1455,0:0
Priestahh,1,0,6-6,950,1735,1:2
Slasher,1.17,1,7-6,1075,2056,2:1
Totals,1.39,11,39-28,5610,8626,7:3
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.89,-1,8-9,1050,1413,2:2
Arcitys,1,0,7-7,1325,2315,1:0
Clayster,0.5,-4,4-8,515,820,0:1
Prestinni,0.25,-6,2-8,325,641,0:2
Simp,1,0,7-7,850,1194,0:2
Totals,0.72,-11,28-39,4065,6383,3:7
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.23,3,16-13,2455,3600,0:0
Kenny,1.13,2,17-15,2690,3473,1:0
Octane,1.45,5,16-11,2875,3667,0:1
Priestahh,0.87,-2,13-15,2300,2228,0:1
Slasher,1.8,8,18-10,2650,3272,0:0
Totals,1.25,16,80-64,12970,16240,1:2
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.7,-6,14-20,2025,3077,0:0
Arcitys,0.5,-9,9-18,1425,3097,0:1
Clayster,1.06,1,17-16,2340,3312,2:0
Prestinni,0.76,-4,13-17,2180,2638,0:0
Simp,1.22,2,11-9,1560,2335,0:0
Totals,0.8,-16,64-80,9530,14459,2:1
