Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apathy,1.18,1.01,1,69-68,9580,13720
Attach,1.14,1.02,1,63-62,11435,15167
JKap,0.88,0.97,-2,67-69,10340,12379
Phantomz,1.11,1.16,10,71-61,11010,14379
Xotic,1.02,0.97,-2,68-70,10475,13821
Totals,1.06,1.02,8,338-330,52840,69466
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.29,0.29,-5,2-7,340,734
Cellium,0.75,0.75,-2,6-8,1050,1547
Skrapz,0.5,0.5,-4,4-8,500,957
Zer0,0.71,0.71,-2,5-7,575,776
Zoomaa,1,1,0,7-7,925,1657
Totals,0.65,0.65,-13,24-37,3390,5671
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apathy,1.18,1.01,1,69-68,9580,13720
Attach,1.14,1.02,1,63-62,11435,15167
JKap,0.88,0.97,-2,67-69,10340,12379
Phantomz,1.11,1.16,10,71-61,11010,14379
Xotic,1.02,0.97,-2,68-70,10475,13821
Totals,1.06,1.02,8,338-330,52840,69466
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.29,0.29,-5,2-7,340,734
Cellium,0.75,0.75,-2,6-8,1050,1547
Skrapz,0.5,0.5,-4,4-8,500,957
Zer0,0.71,0.71,-2,5-7,575,776
Zoomaa,1,1,0,7-7,925,1657
Totals,0.65,0.65,-13,24-37,3390,5671
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apathy,1.18,1.01,1,69-68,9580,13720
Attach,1.14,1.02,1,63-62,11435,15167
JKap,0.88,0.97,-2,67-69,10340,12379
Phantomz,1.11,1.16,10,71-61,11010,14379
Xotic,1.02,0.97,-2,68-70,10475,13821
Totals,1.06,1.02,8,338-330,52840,69466
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.29,0.29,-5,2-7,340,734
Cellium,0.75,0.75,-2,6-8,1050,1547
Skrapz,0.5,0.5,-4,4-8,500,957
Zer0,0.71,0.71,-2,5-7,575,776
Zoomaa,1,1,0,7-7,925,1657
Totals,0.65,0.65,-13,24-37,3390,5671
Evil Geniuses,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apathy,1.18,1.01,1,69-68,9580,13720
Attach,1.14,1.02,1,63-62,11435,15167
JKap,0.88,0.97,-2,67-69,10340,12379
Phantomz,1.11,1.16,10,71-61,11010,14379
Xotic,1.02,0.97,-2,68-70,10475,13821
Totals,1.06,1.02,8,338-330,52840,69466
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.29,0.29,-5,2-7,340,734
Cellium,0.75,0.75,-2,6-8,1050,1547
Skrapz,0.5,0.5,-4,4-8,500,957
Zer0,0.71,0.71,-2,5-7,575,776
Zoomaa,1,1,0,7-7,925,1657
Totals,0.65,0.65,-13,24-37,3390,5671
Evil Geniuses,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apathy,1.18,1.01,1,69-68,9580,13720
Attach,1.14,1.02,1,63-62,11435,15167
JKap,0.88,0.97,-2,67-69,10340,12379
Phantomz,1.11,1.16,10,71-61,11010,14379
Xotic,1.02,0.97,-2,68-70,10475,13821
Totals,1.06,1.02,8,338-330,52840,69466
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.29,0.29,-5,2-7,340,734
Cellium,0.75,0.75,-2,6-8,1050,1547
Skrapz,0.5,0.5,-4,4-8,500,957
Zer0,0.71,0.71,-2,5-7,575,776
Zoomaa,1,1,0,7-7,925,1657
Totals,0.65,0.65,-13,24-37,3390,5671
