FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.35,6,23-17,3335,4398,94
Cellium,0.27,-16,6-22,930,2248,35
Skrapz,1.19,3,19-16,3045,4157,61
Zer0,0.61,-9,14-23,1715,3163,19
Zoomaa,0.82,-4,18-22,2770,3627,42
Totals,0.8,-20,80-100,11795,17593,251
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.56,-8,10-18,1980,3051,52
Dashy,1.71,10,24-14,3455,4643,56
Karma,1.71,10,24-14,3050,4504,48
Scump,1.06,1,19-18,3155,3998,105
TJHaly,1.38,6,22-16,3425,4459,73
Totals,1.24,19,99-80,15065,20655,334
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.22,-7,2-9,550,745,0:5
Cellium,0.57,-3,4-7,750,1332,0:2
Skrapz,1.33,2,8-6,1175,1684,1:0
Zer0,0.5,-4,4-8,600,1325,0:0
Zoomaa,1.13,1,9-8,1100,1108,1:0
Totals,0.71,-11,27-38,4175,6194,2:7
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,5-5,700,1125,1:1
Dashy,2,4,8-4,1050,1347,2:0
Karma,1.5,3,9-6,1200,1819,3:0
Scump,0.17,-5,1-6,340,843,0:1
TJHaly,2.17,7,13-6,1750,1964,1:0
Totals,1.33,9,36-27,5040,7098,7:2
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.56,-12,15-27,2625,3319,1:0
Cellium,0.57,-9,12-21,2000,2932,0:1
Skrapz,1.22,4,22-18,2950,4592,1:0
Zer0,0.9,-2,19-21,3040,4548,0:0
Zoomaa,0.68,-8,17-25,2380,4375,1:0
Totals,0.76,-27,85-112,12995,19766,3:1
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,2.5,21,35-14,4800,6146,0:0
Dashy,1.31,4,17-13,3575,4223,0:0
Karma,0.86,-3,19-22,2525,3635,0:3
Scump,1.44,8,26-18,4120,4644,0:0
TJHaly,0.83,-3,15-18,2885,4311,1:0
Totals,1.32,27,112-85,17905,22959,1:3
