Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.92,-2,22-24,3315,4759,68
MRuiz,0.84,-3,16-19,2560,3760,53
Profeezy,1.09,2,24-22,3735,5421,118
Skyz,1.23,5,27-22,4040,6444,75
Wailers,1.48,10,31-21,4150,5595,82
Totals,1.11,12,120-108,17800,25979,396
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.77,-5,17-22,2505,3307,106
Formal,1.24,5,26-21,3905,6541,32
Gunless,0.92,-2,23-25,3390,5686,61
John,0.73,-7,19-26,3025,3817,34
Slacked,0.88,-3,23-26,3385,4903,47
Totals,0.9,-12,108-120,16210,24254,280
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.75,-2,6-8,650,1162,0:0
MRuiz,0.57,-3,4-7,725,698,1:1
Profeezy,0.86,-1,6-7,1090,1071,1:2
Skyz,1.5,3,9-6,1750,2615,2:0
Wailers,1,0,8-8,1000,1584,2:0
Totals,0.92,-3,33-36,5215,7130,6:3
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.5,-4,4-8,910,1166,0:0
Formal,2.5,6,10-4,1425,1956,0:2
Gunless,1.25,2,10-8,1150,1608,0:2
John,0.86,-1,6-7,675,1015,2:1
Slacked,0.67,-2,4-6,455,982,1:1
Totals,1.03,1,34-33,4615,6727,3:6
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.82,-3,14-17,2335,3201,0:1
MRuiz,0.38,-10,6-16,1075,2092,0:0
Profeezy,0.88,-2,14-16,1600,2271,0:0
Skyz,0.69,-4,9-13,1325,2571,0:0
Wailers,0.73,-4,11-15,1575,2901,1:1
Totals,0.7,-23,54-77,7910,13036,1:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.5,5,15-10,3050,3342,0:0
Formal,1.5,5,15-10,2765,3944,0:1
Gunless,1,0,13-13,1950,2878,0:0
John,1.5,6,18-12,3240,3020,0:0
Slacked,1.67,6,15-9,2985,2947,2:0
Totals,1.41,22,76-54,13990,16131,2:1
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.77,-5,17-22,2965,3398,52
MRuiz,0.76,-4,13-17,2580,3522,62
Profeezy,0.85,-3,17-20,2815,3330,73
Skyz,2.29,18,32-14,4775,5921,103
Wailers,1.81,13,29-16,4470,5098,109
Totals,1.21,19,108-89,17605,21269,399
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.86,-3,18-21,3050,3765,73
Formal,0.91,-2,20-22,2770,3973,38
Gunless,0.75,-6,18-24,2430,4318,59
John,1.18,3,20-17,3185,3826,36
Slacked,0.54,-11,13-24,1990,3031,53
Totals,0.82,-19,89-108,13425,18913,259
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.75,6,14-8,1905,1884,2:0
MRuiz,1.14,1,8-7,1425,2222,0:1
Profeezy,0.4,-6,4-10,1050,1715,1:1
Skyz,1.14,1,8-7,1525,1841,2:1
Wailers,0.44,-5,4-9,550,1763,2:1
Totals,0.93,-3,38-41,6455,9425,7:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.5,-4,4-8,800,1832,1:1
Formal,2.33,8,14-6,2025,2747,1:1
Gunless,1.38,3,11-8,1475,2226,2:3
John,0.71,-2,5-7,1175,1358,0:1
Slacked,0.78,-2,7-9,1115,1497,0:1
Totals,1.08,3,41-38,6590,9660,4:7
