Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.85,-4,23-27,3000,4626,48
Seany,1.04,1,24-23,3880,5712,68
Tommey,0.53,-14,16-30,2670,4301,37
Wuskin,0.95,-1,20-21,3655,4025,66
Zed,1.17,4,27-23,4035,5373,78
Totals,0.89,-14,110-124,17240,24037,297
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.92,-2,22-24,3580,4023,89
Methodz,0.86,-3,18-21,3595,4372,67
Parzelion,1.75,15,35-20,4950,6607,81
Proto,1.63,10,26-16,4210,4802,79
Royalty,0.79,-6,23-29,2800,5366,59
Totals,1.13,14,124-110,19135,25170,375
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.29,2,9-7,1655,1963,4:0
Seany,2.6,8,13-5,1700,1641,3:0
Tommey,1.13,1,9-8,1400,2152,2:0
Wuskin,0.71,-2,5-7,775,1380,0:2
Zed,0.44,-5,4-9,825,1194,0:0
Totals,1.11,4,40-36,6355,8330,9:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1,0,8-8,975,1656,0:1
Methodz,0.88,-1,7-8,1025,2379,1:0
Parzelion,0.78,-2,7-9,825,1550,1:2
Proto,1.43,3,10-7,1480,1804,0:1
Royalty,0.33,-6,3-9,400,1242,0:5
Totals,0.85,-6,35-41,4705,8631,2:9
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.69,9,22-13,3030,4235,0:0
Seany,1.23,3,16-13,2500,3950,0:0
Tommey,1.18,3,20-17,2650,5048,0:0
Wuskin,1.25,3,15-12,2235,2976,0:1
Zed,0.83,-3,15-18,1975,2936,0:2
Totals,1.21,15,88-73,12390,19145,0:3
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.78,-4,14-18,2050,2952,0:0
Methodz,0.88,-2,14-16,2300,3847,0:0
Parzelion,1,0,17-17,2075,3632,1:0
Proto,0.61,-7,11-18,2425,2411,1:0
Royalty,0.89,-2,17-19,2450,3562,1:0
Totals,0.83,-15,73-88,11300,16404,3:0
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.04,1,29-28,4535,5916,50
Seany,1.89,17,36-19,5160,6638,120
Tommey,0.81,-6,25-31,3655,5871,43
Wuskin,1.23,5,27-22,4585,4829,97
Zed,0.83,-5,24-29,3520,4688,57
Totals,1.09,12,141-129,21455,27942,367
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.19,5,31-26,4560,6438,65
Methodz,0.87,-4,26-30,3065,6313,22
Parzelion,0.92,-2,23-25,3675,4802,134
Proto,0.82,-5,23-28,3605,4072,45
Royalty,0.79,-7,26-33,3945,5682,74
Totals,0.91,-13,129-142,18850,27307,340
