FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.19,4,25-21,3240,4228,68
Cellium,1.05,1,22-21,3620,4976,103
Skrapz,1.85,11,24-13,3960,4836,113
Zer0,0.78,-5,18-23,3275,4510,53
Zoomaa,1.64,14,36-22,4465,6152,70
Totals,1.25,25,125-100,18560,24702,407
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.52,-14,15-29,2225,4118,19
Formal,0.73,-7,19-26,2500,4151,47
Gunless,0.78,-5,18-23,2765,4056,58
John,0.92,-2,23-25,3295,4715,42
Slacked,1.09,2,25-23,4050,4891,59
Totals,0.79,-26,100-126,14835,21931,225
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.88,-1,7-8,1255,1512,1:1
Cellium,1.14,1,8-7,1225,2756,1:2
Skrapz,0.71,-2,5-7,550,981,1:1
Zer0,1.67,4,10-6,1300,2364,2:0
Zoomaa,1.5,3,9-6,1275,1978,1:1
Totals,1.15,5,39-34,5605,9591,6:5
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1,0,6-6,925,966,1:2
Formal,0.22,-7,2-9,450,1356,1:2
Gunless,1.14,1,8-7,900,2024,1:1
John,1.1,1,11-10,1750,2402,2:0
Slacked,0.71,-2,5-7,1120,1108,0:1
Totals,0.82,-7,32-39,5145,7856,5:6
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.74,-8,23-31,4225,5570,0:0
Cellium,0.92,-2,24-26,3950,5149,0:0
Skrapz,1,0,28-28,3925,6770,2:1
Zer0,1,0,23-23,4045,6098,1:0
Zoomaa,0.97,-1,30-31,5020,5829,0:1
Totals,0.92,-11,128-139,21165,29416,3:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.42,-18,13-31,3960,4284,1:1
Formal,1,0,26-26,4075,4934,0:0
Gunless,1.32,8,33-25,5785,7035,0:0
John,1.57,13,36-23,4755,6159,0:0
Slacked,1.29,7,31-24,4075,5952,1:2
Totals,1.08,10,139-129,22650,28364,2:3
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.61,11,29-18,4260,5505,96
Cellium,1.13,3,26-23,4610,5743,112
Skrapz,1.09,2,24-22,3780,4669,90
Zer0,1.14,3,25-22,3160,5057,54
Zoomaa,1.04,1,27-26,4280,5148,108
Totals,1.18,20,131-111,20090,26122,460
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.81,-5,21-26,3515,4583,43
Formal,0.76,-6,19-25,3065,5474,49
Gunless,1.04,1,29-28,4170,5617,82
John,0.77,-6,20-26,2900,4522,14
Slacked,0.81,-5,22-27,3280,5185,37
Totals,0.84,-21,111-132,16930,25381,225
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.29,-5,2-7,500,699,1:0
Cellium,0.33,-4,2-6,325,824,0:1
Skrapz,0.43,-4,3-7,400,800,0:0
Zer0,1.33,2,8-6,950,1718,0:0
Zoomaa,0.43,-4,3-7,300,599,2:2
Totals,0.55,-15,18-33,2475,4640,3:3
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.8,-1,4-5,750,827,1:2
Formal,1.75,3,7-4,800,1792,1:0
Gunless,2.67,5,8-3,1110,1152,0:1
John,2.33,4,7-3,950,1428,1:0
Slacked,2,3,6-3,980,1258,0:0
Totals,1.78,14,32-18,4590,6457,3:3
