Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.4,8,28-20,3590,6065,55
Aqua,0.52,-13,14-27,2465,2788,65
Jurd,0.83,-4,20-24,3205,4041,39
Loony,0.64,-9,16-25,2935,4023,45
Temp,1.15,4,30-26,3890,5755,20
Totals,0.89,-14,108-122,16085,22672,224
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.82,-4,18-22,3030,4913,23
Decemate,1.37,7,26-19,3500,4734,56
Fero,1.14,3,24-21,3655,4444,75
Huke,0.79,-5,19-24,3345,3568,80
Silly,1.55,12,34-22,4905,6542,132
Totals,1.12,13,121-108,18435,24201,366
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.6,3,8-5,1275,1626,0:2
Aqua,0.71,-2,5-7,725,1207,1:3
Jurd,0.86,-1,6-7,750,951,1:0
Loony,1,0,6-6,875,1282,1:0
Temp,1.43,3,10-7,1550,1925,0:1
Totals,1.09,3,35-32,5175,6991,3:6
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.25,-6,2-8,200,766,0:0
Decemate,1.83,5,11-6,1650,1785,1:0
Fero,0.71,-2,5-7,850,1615,0:0
Huke,0.5,-4,4-8,500,1362,4:2
Silly,1.14,1,8-7,1200,1452,1:1
Totals,0.83,-6,30-36,4400,6980,6:3
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.75,-5,15-20,2175,3850,0:1
Aqua,0.96,-1,24-25,3500,5285,0:0
Jurd,0.87,-3,20-23,3150,3892,1:0
Loony,0.64,-8,14-22,2165,3487,0:0
Temp,0.96,-1,23-24,3150,5283,1:0
Totals,0.84,-18,96-114,14140,21797,2:1
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.86,-3,19-22,3665,5088,0:2
Decemate,1.28,5,23-18,3125,4315,0:0
Fero,1.13,2,17-15,3530,4306,0:0
Huke,1.5,10,30-20,4300,5501,1:0
Silly,1.14,3,25-22,3725,4745,0:0
Totals,1.18,17,114-97,18345,23955,1:2
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.77,-5,17-22,2595,3958,56
Aqua,0.82,-4,18-22,2985,3740,52
Jurd,1.04,1,24-23,3345,4269,63
Loony,0.74,-7,20-27,3415,4307,32
Temp,0.72,-7,18-25,2645,4269,35
Totals,0.82,-22,97-119,14985,20543,238
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.95,-1,19-20,3135,5177,76
Decemate,1.21,4,23-19,2990,4545,66
Fero,1.18,3,20-17,3360,3993,81
Huke,1.55,12,34-22,4315,5627,72
Silly,1.1,2,22-20,3665,4763,92
Totals,1.2,20,118-98,17465,24105,387
