100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.04,1,26-25,3840,5439,42
Kenny,0.84,-5,26-31,4015,5955,32
Octane,0.96,-1,24-25,4560,5557,92
Priestahh,0.71,-9,22-31,3865,5147,66
Slasher,0.87,-4,27-31,3930,5443,34
Totals,0.87,-18,125-143,20210,27541,266
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1,0,26-26,3705,6254,75
Havok,0.93,-2,25-27,4110,5330,114
MajorManiak,1.23,6,32-26,4340,6077,79
Maux,1.29,7,31-24,4440,6809,65
Nagafen,1.21,5,29-24,4665,5858,90
Totals,1.13,16,143-127,21260,30328,423
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.71,-2,5-7,775,1698,0:0
Kenny,1.5,3,9-6,1275,2002,0:0
Octane,0.67,-2,4-6,525,1489,1:2
Priestahh,0.78,-2,7-9,725,1248,4:0
Slasher,0.83,-1,5-6,775,1387,1:1
Totals,0.88,-4,30-34,4075,7824,6:3
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.43,-4,3-7,300,1229,0:0
Havok,1.17,1,7-6,1000,1245,1:2
MajorManiak,1.67,4,10-6,1500,2243,2:1
Maux,0.6,-2,3-5,850,1993,0:1
Nagafen,1.83,5,11-6,1410,1708,0:2
Totals,1.13,4,34-30,5060,8418,3:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.36,5,19-14,3770,3849,1:0
Kenny,1.17,3,21-18,3810,3622,0:0
Octane,1.05,1,20-19,3700,5166,1:0
Priestahh,1.73,11,26-15,4760,5130,2:1
Slasher,0.94,-1,15-16,2850,4592,0:0
Totals,1.23,19,101-82,18890,22359,4:1
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.7,-7,16-23,2575,4027,0:0
Havok,0.81,-4,17-21,2575,3543,1:1
MajorManiak,1.1,2,23-21,3325,5173,0:2
Maux,0.29,-12,5-17,1975,2858,0:0
Nagafen,1.05,1,20-19,3615,4028,0:1
Totals,0.8,-20,81-101,14065,19629,1:4
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.67,6,15-9,3060,3388,109
Kenny,2.2,12,22-10,3510,4352,70
Octane,2.3,13,23-10,3185,4392,75
Priestahh,0.87,-2,13-15,1805,2756,63
Slasher,1.2,3,18-15,2595,3641,88
Totals,1.54,32,91-59,14155,18529,405
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.67,-6,12-18,1890,2748,10
Havok,0.73,-4,11-15,1540,2412,13
MajorManiak,0.33,-14,7-21,1150,2153,8
Maux,0.53,-8,9-17,1755,3164,50
Nagafen,1,0,20-20,2835,3392,25
Totals,0.65,-32,59-91,9170,13869,106
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.5,-4,4-8,975,1016,1:0
Kenny,1.11,1,10-9,1100,2096,3:0
Octane,0.75,-2,6-8,875,1917,1:1
Priestahh,2,5,10-5,1250,1480,2:1
Slasher,0.75,-2,6-8,1000,1366,1:0
Totals,0.95,-2,36-38,5200,7875,8:2
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.63,5,13-8,1550,2527,1:1
Havok,1.6,3,8-5,1280,1774,1:1
MajorManiak,0.88,-1,7-8,1200,1847,0:2
Maux,0.86,-1,6-7,1000,1891,0:2
Nagafen,0.5,-4,4-8,700,826,0:2
Totals,1.06,2,38-36,5730,8865,2:8
