Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.57,-9,12-21,2140,3245,53
Lucky,1.14,3,24-21,3300,5163,60
MethodZsick,0.73,-7,19-26,2100,4084,15
Mettalz,0.9,-2,18-20,3115,3754,52
Sukry,1.11,2,21-19,3200,4284,121
Totals,0.88,-13,94-107,13855,20530,301
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.63,-6,10-16,1970,3725,120
Dashy,1.17,3,21-18,3325,4522,63
Karma,0.9,-2,19-21,2625,3745,67
Scump,1.37,7,26-19,4260,5604,37
TJHaly,1.55,11,31-20,4170,5785,70
Totals,1.14,13,107-94,16350,23381,357
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.67,-3,6-9,850,1020,0:3
Lucky,1.86,6,13-7,1825,2249,2:1
MethodZsick,0.67,-3,6-9,1275,1313,1:0
Mettalz,0.33,-6,3-9,725,1336,0:3
Sukry,0.44,-5,4-9,800,1513,0:1
Totals,0.74,-11,32-43,5475,7431,3:8
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.29,2,9-7,1275,2536,2:0
Dashy,0.83,-1,5-6,575,1370,1:1
Karma,1.4,2,7-5,825,1878,0:0
Scump,1.33,2,8-6,1095,1492,1:1
TJHaly,1.63,5,13-8,2125,3080,4:1
Totals,1.31,10,42-32,5895,10356,8:3
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.8,-3,12-15,1640,3226,0:0
Lucky,0.57,-6,8-14,1530,2901,0:0
MethodZsick,0.72,-5,13-18,1425,2389,0:3
Mettalz,0.69,-5,11-16,1875,2681,0:0
Sukry,0.81,-3,13-16,1950,2809,0:1
Totals,0.72,-22,57-79,8420,14006,0:4
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.17,2,14-12,2325,3099,1:0
Dashy,1,0,13-13,1855,2247,1:0
Karma,1.82,9,20-11,3095,3830,2:0
Scump,1.64,7,18-11,2575,3269,0:0
TJHaly,1.4,4,14-10,1960,3058,0:0
Totals,1.39,22,79-57,11810,15503,4:0
