eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.5,6,18-12,2725,3696,105
Arcitys,1.55,6,17-11,2670,2998,55
Clayster,1.56,9,25-16,4165,4464,95
Prestinni,1.4,6,21-15,3560,4187,51
Simp,1.36,5,19-14,3090,3578,70
Totals,1.47,32,100-68,16210,18923,376
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.7,-6,14-20,2310,2766,17
Lucky,0.8,-4,16-20,1805,3228,17
MethodZsick,0.36,-14,8-22,1500,2713,32
Mettalz,1,0,19-19,2890,3470,18
Sukry,0.58,-8,11-19,1505,3408,21
Totals,0.68,-32,68-100,10010,15585,105
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.25,2,10-8,1365,1849,3:0
Arcitys,0.83,-1,5-6,675,931,1:0
Clayster,1.71,5,12-7,1675,2175,1:1
Prestinni,0.5,-4,4-8,740,1134,2:1
Simp,1.14,1,8-7,1125,1906,0:2
Totals,1.08,3,39-36,5580,7995,7:4
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.56,-4,5-9,940,1524,0:0
Lucky,2,6,12-6,1190,2395,1:1
MethodZsick,0.67,-3,6-9,950,946,2:1
Mettalz,0.88,-1,7-8,950,1273,1:4
Sukry,0.86,-1,6-7,860,1802,0:1
Totals,0.92,-3,36-39,4890,7940,4:7
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.05,1,23-22,4175,5557,1:0
Arcitys,1.17,3,21-18,3840,4074,0:0
Clayster,1.44,8,26-18,4000,4798,1:0
Prestinni,0.68,-7,15-22,2750,3950,0:0
Simp,1.47,9,28-19,3900,4814,0:2
Totals,1.14,14,113-99,18665,23193,2:2
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.23,5,27-22,4095,5135,0:0
Lucky,1.09,2,24-22,4685,5528,1:0
MethodZsick,0.58,-10,14-24,2125,2986,1:1
Mettalz,1,0,20-20,3635,4586,0:0
Sukry,0.56,-11,14-25,2000,3081,0:1
Totals,0.88,-14,99-113,16540,21316,2:2
