Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.03,1,30-29,4590,7396,42
Havok,1.52,13,38-25,5400,6799,91
MajorManiak,1.11,3,30-27,4465,5821,43
Maux,1.35,8,31-23,4175,6121,65
Nagafen,0.83,-5,24-29,3805,4678,87
Totals,1.15,20,153-133,22435,30815,328
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.97,-1,30-31,4055,6462,35
Decemate,0.93,-2,28-30,4150,5444,64
Fero,0.67,-10,20-30,3565,5532,44
Huke,0.9,-3,27-30,3820,4986,102
Silly,0.88,-4,28-32,4385,5438,89
Totals,0.87,-20,133-153,19975,27862,334
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.43,-4,3-7,365,814,1:2
Havok,0.63,-3,5-8,525,1049,3:0
MajorManiak,0.5,-3,3-6,300,940,0:0
Maux,0.5,-3,3-6,450,1235,0:1
Nagafen,1,0,8-8,1305,1694,1:0
Totals,0.63,-13,22-35,2945,5732,5:3
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.6,3,8-5,1150,1895,0:0
Decemate,3,8,12-4,1800,2184,0:0
Fero,1.5,2,6-4,865,1238,0:2
Huke,0.83,-1,5-6,525,1123,2:1
Silly,1.33,1,4-3,975,889,1:2
Totals,1.59,13,35-22,5315,7329,3:5
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.79,-5,19-24,2750,3829,0:0
Havok,1.1,2,23-21,3075,4586,2:0
MajorManiak,0.7,-7,16-23,2625,3477,1:0
Maux,0.76,-5,16-21,3225,4233,1:0
Nagafen,0.95,-1,19-20,3165,4517,0:0
Totals,0.85,-16,93-109,14840,20642,4:0
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.67,-7,14-21,2525,4496,0:1
Decemate,2.38,18,31-13,4295,5279,0:0
Fero,0.62,-8,13-21,2895,2983,0:0
Huke,1.88,14,30-16,4600,5579,0:1
Silly,0.86,-3,19-22,3325,4305,0:2
Totals,1.15,14,107-93,17640,22642,0:4
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.93,-2,26-28,3895,5681,46
Havok,0.84,-4,21-25,3045,4679,62
MajorManiak,0.79,-6,22-28,3490,5489,66
Maux,1.28,7,32-25,4340,6324,51
Nagafen,0.81,-5,22-27,3890,4339,99
Totals,0.92,-10,123-133,18660,26512,324
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.56,-12,15-27,2860,4077,91
Decemate,1.27,7,33-26,4665,6461,32
Fero,1.8,16,36-20,5640,6132,87
Huke,0.9,-3,27-30,4075,5052,46
Silly,1.1,2,22-20,5230,4994,138
Totals,1.08,10,133-123,22470,26716,394
