100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1,0,20-20,3160,4252,41
Kenny,1.1,2,22-20,3165,3619,56
Octane,2,11,22-11,3855,4356,129
Priestahh,1.24,4,21-17,2565,3927,34
Slasher,1.06,1,19-18,3525,4155,80
Totals,1.21,18,104-86,16270,20309,340
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.79,11,25-14,3525,4974,101
Dashy,0.73,-6,16-22,2445,3635,35
Karma,0.56,-11,14-25,1655,3088,27
Scump,0.5,-11,11-22,2045,2359,24
TJHaly,0.95,-1,20-21,2910,4138,61
Totals,0.83,-18,86-104,12580,18194,248
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0,-6,0-6,300,246,0:1
Kenny,0.83,-1,5-6,675,1194,1:0
Octane,0.5,-3,3-6,425,928,0:1
Priestahh,0.14,-6,1-7,200,593,0:3
Slasher,1,0,6-6,650,834,0:1
Totals,0.48,-16,15-31,2250,3795,1:6
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.33,1,4-3,725,1202,1:0
Dashy,8,7,8-1,1260,1402,1:0
Karma,1.67,2,5-3,650,1251,0:0
Scump,1,0,5-5,530,749,3:1
TJHaly,2,4,8-4,1025,1374,1:0
Totals,1.88,14,30-16,4190,5978,6:1
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.81,-4,17-21,2500,3954,2:0
Kenny,0.73,-7,19-26,3170,4237,0:0
Octane,1.05,1,21-20,3775,4951,0:1
Priestahh,0.92,-2,22-24,3325,4767,1:1
Slasher,1.05,1,20-19,3050,4789,0:0
Totals,0.9,-11,99-110,15820,22698,3:2
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.84,-3,16-19,2965,4447,0:0
Dashy,1.24,5,26-21,3760,4777,1:0
Karma,1.05,1,21-20,3100,4620,1:0
Scump,0.94,-1,16-17,2935,3202,0:2
TJHaly,1.41,9,31-22,4070,6836,0:1
Totals,1.11,11,110-99,16830,23882,2:3
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.85,-4,22-26,3435,4311,48
Kenny,0.97,-1,28-29,4090,6194,34
Octane,1.67,12,30-18,4965,5235,169
Priestahh,0.81,-6,26-32,3560,4692,51
Slasher,1.52,12,35-23,4840,6848,59
Totals,1.1,13,141-128,20890,27280,361
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.72,-7,18-25,3220,4398,90
Dashy,1.26,7,34-27,4480,6457,33
Karma,0.71,-9,22-31,3300,5443,41
Scump,0.97,-1,28-29,3635,5524,34
TJHaly,0.9,-3,26-29,3620,5637,73
Totals,0.91,-13,128-141,18255,27459,271
