eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.11,2,20-18,3395,4138,52
Arcitys,1.38,6,22-16,3795,4294,103
Clayster,1.24,5,26-21,3440,4859,68
Prestinni,0.58,-11,15-26,2205,3645,64
Simp,1.72,13,31-18,4370,5196,60
Totals,1.15,15,114-99,17205,22132,347
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.05,1,22-21,3300,4437,62
Dashy,1.05,1,21-20,3165,4888,57
Karma,0.88,-3,21-24,3470,4842,43
Scump,0.68,-7,15-22,2280,3114,39
TJHaly,0.71,-8,20-28,2970,5140,38
Totals,0.86,-16,99-115,15185,22421,239
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.29,2,9-7,1535,2300,0:1
Arcitys,0.86,-1,6-7,1000,1319,0:1
Clayster,1,0,9-9,965,1914,0:3
Prestinni,0.63,-3,5-8,1120,839,1:1
Simp,1.71,5,12-7,1360,1995,0:3
Totals,1.08,3,41-38,5980,8367,1:9
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,8-8,1050,1713,1:0
Dashy,0.6,-4,6-10,700,1385,2:0
Karma,1.29,2,9-7,1025,1834,3:0
Scump,0.86,-1,6-7,1100,1370,1:1
TJHaly,0.89,-1,8-9,900,1914,2:0
Totals,0.9,-4,37-41,4775,8216,9:1
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.09,2,25-23,3900,5192,1:1
Arcitys,1.38,5,18-13,3110,3997,1:0
Clayster,0.91,-2,21-23,3315,4989,0:0
Prestinni,0.74,-6,17-23,2115,3322,1:0
Simp,1.71,10,24-14,4160,5455,0:0
Totals,1.09,9,105-96,16600,22955,3:1
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.43,-12,9-21,1875,2459,0:0
Dashy,1.56,10,28-18,3560,5380,0:0
Karma,0.91,-2,20-22,2400,4029,1:3
Scump,0.74,-6,17-23,3330,3991,0:0
TJHaly,1.05,1,22-21,2985,4591,0:0
Totals,0.91,-9,96-105,14150,20450,1:3
