Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.89,0.86,-10,59-69,9340,14648
Decemate,0.73,0.76,-16,50-66,8575,11192
Fero,1.02,1.14,9,73-64,11040,14945
Huke,1.07,1.08,6,78-72,11300,14494
Silly,1,1.01,1,69-68,11825,15401
Totals,0.94,0.97,-10,329-339,52080,70680
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,0.67,0.67,-2,4-6,490,1132
Arcitys,1,1,0,5-5,750,783
Clayster,2.75,2.75,7,11-4,1955,2632
Prestinni,1,1,0,5-5,1050,1505
Simp,3,3,8,12-4,1325,1600
Totals,1.54,1.54,13,37-24,5570,7652
Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.89,0.86,-10,59-69,9340,14648
Decemate,0.73,0.76,-16,50-66,8575,11192
Fero,1.02,1.14,9,73-64,11040,14945
Huke,1.07,1.08,6,78-72,11300,14494
Silly,1,1.01,1,69-68,11825,15401
Totals,0.94,0.97,-10,329-339,52080,70680
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,0.67,0.67,-2,4-6,490,1132
Arcitys,1,1,0,5-5,750,783
Clayster,2.75,2.75,7,11-4,1955,2632
Prestinni,1,1,0,5-5,1050,1505
Simp,3,3,8,12-4,1325,1600
Totals,1.54,1.54,13,37-24,5570,7652
Team Envy,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.89,0.86,-10,59-69,9340,14648
Decemate,0.73,0.76,-16,50-66,8575,11192
Fero,1.02,1.14,9,73-64,11040,14945
Huke,1.07,1.08,6,78-72,11300,14494
Silly,1,1.01,1,69-68,11825,15401
Totals,0.94,0.97,-10,329-339,52080,70680
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,0.67,0.67,-2,4-6,490,1132
Arcitys,1,1,0,5-5,750,783
Clayster,2.75,2.75,7,11-4,1955,2632
Prestinni,1,1,0,5-5,1050,1505
Simp,3,3,8,12-4,1325,1600
Totals,1.54,1.54,13,37-24,5570,7652
Team Envy,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aches,0.89,0.86,-10,59-69,9340,14648
Decemate,0.73,0.76,-16,50-66,8575,11192
Fero,1.02,1.14,9,73-64,11040,14945
Huke,1.07,1.08,6,78-72,11300,14494
Silly,1,1.01,1,69-68,11825,15401
Totals,0.94,0.97,-10,329-339,52080,70680
eUnited,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,0.67,0.67,-2,4-6,490,1132
Arcitys,1,1,0,5-5,750,783
Clayster,2.75,2.75,7,11-4,1955,2632
Prestinni,1,1,0,5-5,1050,1505
Simp,3,3,8,12-4,1325,1600
Totals,1.54,1.54,13,37-24,5570,7652
