Heretics,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,1.55,1.55,6,17-11,3120,3753
Lucky,1.08,1.08,1,14-13,2245,3148
MethodZsick,1.44,1.44,4,13-9,2325,2023
Mettalz,1.17,1.17,2,14-12,2700,2791
Sukry,1.67,1.67,8,20-12,3125,3910
Totals,1.37,1.37,21,78-57,13515,15625
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Mayhem,1.46,1.46,6,19-13,2000,3649
Methodz,0.63,0.63,-6,10-16,1625,3611
Parzelion,0.44,0.44,-9,7-16,1100,2466
Proto,0.65,0.65,-6,11-17,1750,2635
Royalty,0.56,0.56,-7,9-16,1175,2360
Totals,0.72,0.72,-22,56-78,7650,14721
Heretics,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,1.55,1.55,6,17-11,3120,3753
Lucky,1.08,1.08,1,14-13,2245,3148
MethodZsick,1.44,1.44,4,13-9,2325,2023
Mettalz,1.17,1.17,2,14-12,2700,2791
Sukry,1.67,1.67,8,20-12,3125,3910
Totals,1.37,1.37,21,78-57,13515,15625
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Mayhem,1.46,1.46,6,19-13,2000,3649
Methodz,0.63,0.63,-6,10-16,1625,3611
Parzelion,0.44,0.44,-9,7-16,1100,2466
Proto,0.65,0.65,-6,11-17,1750,2635
Royalty,0.56,0.56,-7,9-16,1175,2360
Totals,0.72,0.72,-22,56-78,7650,14721
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.55,6,17-11,3120,3753,0:0
Lucky,1.08,1,14-13,2245,3148,0:1
MethodZsick,1.44,4,13-9,2325,2023,0:0
Mettalz,1.17,2,14-12,2700,2791,2:0
Sukry,1.67,8,20-12,3125,3910,0:0
Totals,1.37,21,78-57,13515,15625,2:1
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.46,6,19-13,2000,3649,0:0
Methodz,0.63,-6,10-16,1625,3611,0:0
Parzelion,0.44,-9,7-16,1100,2466,1:1
Proto,0.65,-6,11-17,1750,2635,0:1
Royalty,0.56,-7,9-16,1175,2360,0:0
Totals,0.72,-22,56-78,7650,14721,1:2
