Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.91,0.9,-5,44-49,7175,9554
MRuiz,1.06,1.07,3,48-45,7360,10700
Profeezy,0.96,0.98,-1,48-49,6835,8681
Skyz,1.87,1.84,27,59-32,9565,11899
Wailers,0.6,0.61,-19,30-49,6275,8084
Totals,1.02,1.02,5,229-224,37210,48918
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,0.98,1,0,51-51,7865,10886
Knight,0.69,0.69,-15,33-48,7435,7404
Lacefield,1.16,1.12,5,47-42,7815,9578
LlamaGod,1.02,1.02,1,44-43,8090,10032
Parasite,1.08,1.09,4,49-45,7285,10536
Totals,0.98,0.98,-5,224-229,38490,48436
Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.91,0.9,-5,44-49,7175,9554
MRuiz,1.06,1.07,3,48-45,7360,10700
Profeezy,0.96,0.98,-1,48-49,6835,8681
Skyz,1.87,1.84,27,59-32,9565,11899
Wailers,0.6,0.61,-19,30-49,6275,8084
Totals,1.02,1.02,5,229-224,37210,48918
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,0.98,1,0,51-51,7865,10886
Knight,0.69,0.69,-15,33-48,7435,7404
Lacefield,1.16,1.12,5,47-42,7815,9578
LlamaGod,1.02,1.02,1,44-43,8090,10032
Parasite,1.08,1.09,4,49-45,7285,10536
Totals,0.98,0.98,-5,224-229,38490,48436
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,24-24,3845,5163,2:0
MRuiz,1.05,1,23-22,3335,5252,0:1
Profeezy,0.77,-6,20-26,3250,4432,0:0
Skyz,2.12,19,36-17,5040,7187,1:0
Wailers,0.52,-13,14-27,3090,4610,1:0
Totals,1.01,1,117-116,18560,26644,4:1
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.81,-5,22-27,3450,5116,0:1
Knight,0.74,-7,20-27,4320,4359,0:0
Lacefield,1.58,11,30-19,5000,5624,0:0
LlamaGod,1,0,20-20,4280,5270,0:0
Parasite,1,0,24-24,3485,5591,1:3
Totals,0.99,-1,116-117,20535,25960,1:4
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.8,-5,20-25,3330,4391,82
MRuiz,1.09,2,25-23,4025,5448,71
Profeezy,1.22,5,28-23,3585,4249,63
Skyz,1.53,8,23-15,4525,4712,93
Wailers,0.73,-6,16-22,3185,3474,98
Totals,1.04,4,112-108,18650,22274,407
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.21,5,29-24,4415,5770,59
Knight,0.62,-8,13-21,3115,3045,118
Lacefield,0.74,-6,17-23,2815,3954,32
LlamaGod,1.04,1,24-23,3810,4762,40
Parasite,1.19,4,25-21,3800,4945,65
Totals,0.96,-4,108-112,17955,22476,314
