Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,1.04,1.14,5,41-36,5765,7600
General,0.7,0.72,-12,31-43,4725,7272
GodRx,1.23,1.56,18,50-32,7680,9538
Jetli,0.78,0.76,-12,38-50,5715,8348
Kismet,1.06,1.37,14,52-38,7475,11385
Totals,0.94,1.07,13,212-199,31360,44143
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.05,0.82,-8,36-44,6415,8788
Dashy,1.05,0.84,-7,36-43,5415,8165
Karma,0.95,1.1,4,44-40,6200,8065
Scump,1.22,1.05,2,42-40,7225,9354
TJHaly,1.07,0.91,-4,41-45,6440,10000
Totals,1.07,0.94,-13,199-212,31695,44372
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,1.04,1.14,5,41-36,5765,7600
General,0.7,0.72,-12,31-43,4725,7272
GodRx,1.23,1.56,18,50-32,7680,9538
Jetli,0.78,0.76,-12,38-50,5715,8348
Kismet,1.06,1.37,14,52-38,7475,11385
Totals,0.94,1.07,13,212-199,31360,44143
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.05,0.82,-8,36-44,6415,8788
Dashy,1.05,0.84,-7,36-43,5415,8165
Karma,0.95,1.1,4,44-40,6200,8065
Scump,1.22,1.05,2,42-40,7225,9354
TJHaly,1.07,0.91,-4,41-45,6440,10000
Totals,1.07,0.94,-13,199-212,31695,44372
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1,0,13-13,1700,2268,0:1
General,0.35,-11,6-17,775,2028,0:1
GodRx,1.46,6,19-13,2905,3623,0:0
Jetli,0.5,-10,10-20,1650,2775,1:0
Kismet,1.79,11,25-14,2715,5516,1:1
Totals,0.95,-4,73-77,9745,16210,2:3
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.06,1,18-17,2895,3442,1:0
Dashy,0.82,-3,14-17,2265,3688,1:0
Karma,1.4,6,21-15,3000,3865,0:0
Scump,0.92,-1,12-13,2290,2780,1:2
TJHaly,1.09,1,12-11,2650,3407,0:0
Totals,1.05,4,77-73,13100,17182,3:2
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.35,6,23-17,3165,4254,64
General,1.05,1,20-19,3275,4082,78
GodRx,2.15,15,28-13,4300,4943,38
Jetli,0.95,-1,21-22,2900,3671,46
Kismet,1.47,8,25-17,4320,5017,97
Totals,1.33,29,117-88,17960,21967,323
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.46,-13,11-24,2345,3511,24
Dashy,0.64,-8,14-22,2125,3297,48
Karma,1.05,1,22-21,3075,3826,67
Scump,0.95,-1,21-22,3280,5008,36
TJHaly,0.71,-8,20-28,2465,4692,22
Totals,0.75,-29,88-117,13290,20334,197
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.83,-1,5-6,900,1078,0:1
General,0.71,-2,5-7,675,1162,0:0
GodRx,0.5,-3,3-6,475,972,0:1
Jetli,0.88,-1,7-8,1165,1902,2:0
Kismet,0.29,-5,2-7,440,852,0:4
Totals,0.65,-12,22-34,3655,5966,2:6
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,2.33,4,7-3,1175,1835,2:0
Dashy,2,4,8-4,1025,1180,1:0
Karma,0.25,-3,1-4,125,374,0:2
Scump,1.8,4,9-5,1655,1566,0:0
TJHaly,1.5,3,9-6,1325,1901,3:0
Totals,1.55,12,34-22,5305,6856,6:2
