Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1,0,21-21,2605,3815,39
Attach,0.94,-1,15-16,3420,3959,111
JKap,1.59,10,27-17,4210,4284,96
Phantomz,1.39,7,25-18,4040,5271,98
Xotic,1.21,4,23-19,3245,4394,37
Totals,1.22,20,111-91,17520,21723,381
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.91,-2,20-22,2980,4887,62
Decemate,0.71,-6,15-21,2730,3380,67
Fero,0.95,-1,20-21,3195,4261,73
Huke,0.71,-7,17-24,2645,3634,43
Silly,0.83,-4,19-23,3195,4090,78
Totals,0.82,-20,91-111,14745,20252,323
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,2.5,6,10-4,1475,1435,2:2
Attach,1.8,4,9-5,1375,1460,1:0
JKap,0.57,-3,4-7,855,1019,0:0
Phantomz,1,0,5-5,675,1314,1:1
Xotic,1.33,2,8-6,1605,1873,2:0
Totals,1.33,9,36-27,5985,7101,6:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1,0,7-7,1050,1633,0:1
Decemate,0.63,-3,5-8,825,1607,1:1
Fero,0.43,-4,3-7,640,1041,0:1
Huke,0.86,-1,6-7,800,1416,2:1
Silly,0.86,-1,6-7,1025,1188,0:2
Totals,0.75,-9,27-36,4340,6885,3:6
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.5,-8,8-16,1050,2184,1:1
Attach,0.81,-3,13-16,2125,3258,1:0
JKap,0.63,-6,10-16,1175,2006,0:0
Phantomz,0.47,-8,7-15,1025,1647,0:0
Xotic,0.5,-8,8-16,1175,2344,0:0
Totals,0.58,-33,46-79,6550,11439,2:1
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.91,-1,10-11,1975,2885,0:0
Decemate,1,0,8-8,1800,1434,0:0
Fero,2.63,13,21-8,3245,3444,0:0
Huke,2.4,14,24-10,3445,3975,0:2
Silly,1.67,6,15-9,3085,3552,1:0
Totals,1.7,32,78-46,13550,15290,1:2
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1.11,3,30-27,4450,6286,107
Attach,1.04,1,26-25,4515,6490,43
JKap,0.9,-3,26-29,4100,5070,53
Phantomz,1.48,11,34-23,5270,6147,99
Xotic,1,0,29-29,4450,5210,59
Totals,1.09,12,145-133,22785,29203,361
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.76,-7,22-29,3335,5243,80
Decemate,0.76,-7,22-29,3220,4771,40
Fero,1.04,1,29-28,3960,6199,77
Huke,1,0,31-31,4410,5469,63
Silly,1,0,29-29,4520,6571,77
Totals,0.91,-13,133-146,19445,28253,337
