eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,2.08,13,25-12,3470,4334,76
Arcitys,0.5,-8,8-16,1710,3159,54
Clayster,1.07,1,15-14,2380,2961,88
Prestinni,1.31,4,17-13,2465,3781,59
Simp,1.12,2,19-17,2540,2630,43
Totals,1.17,12,84-72,12565,16865,320
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.67,-6,12-18,1415,2799,11
Denz,1.15,2,15-13,1935,3484,33
Dylan,1.11,2,21-19,2920,4364,37
Wuskin,0.69,-5,11-16,1575,2236,36
Zed,0.72,-5,13-18,2010,2892,40
Totals,0.86,-12,72-84,9855,15775,157
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1,0,8-8,1275,2074,0:3
Arcitys,0.63,-3,5-8,800,1628,1:2
Clayster,2.8,9,14-5,2185,2519,0:0
Prestinni,1,0,6-6,1755,1435,1:1
Simp,0.63,-3,5-8,650,477,0:2
Totals,1.09,3,38-35,6665,8133,2:8
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.86,-1,6-7,825,1638,2:0
Denz,0.67,-2,4-6,550,1090,0:1
Dylan,1.5,4,12-8,1860,1584,2:0
Wuskin,0.75,-2,6-8,750,1455,2:1
Zed,0.78,-2,7-9,1000,1498,2:0
Totals,0.92,-3,35-38,4985,7265,8:2
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.4,4,14-10,1875,2598,1:0
Arcitys,1.63,5,13-8,2900,3338,0:0
Clayster,1.08,1,14-13,2045,2393,0:0
Prestinni,1,0,14-14,2400,2704,0:0
Simp,2.29,9,16-7,2475,3310,1:1
Totals,1.37,19,71-52,11695,14343,2:1
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.64,-5,9-14,1225,1768,0:0
Denz,0.67,-4,8-12,1150,1832,0:0
Dylan,1.19,3,19-16,2650,3920,0:2
Wuskin,0.57,-6,8-14,1365,2017,0:0
Zed,0.53,-7,8-15,925,1949,1:0
Totals,0.73,-19,52-71,7315,11486,1:2
