Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.64,9,23-14,2965,3954,66
Formal,1.36,4,15-11,2350,3326,95
John,1.38,6,22-16,3350,4611,58
Skyz,2.6,16,26-10,3775,4224,121
Slacked,1.43,6,20-14,2700,3399,54
Totals,1.63,41,106-65,15140,19514,394
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.36,-14,8-22,950,2619,8
Dashy,1,0,19-19,2355,3235,25
Karma,0.61,-7,11-18,1710,2107,70
Scump,0.75,-5,15-20,1700,3530,12
TJHaly,0.44,-15,12-27,1615,3469,14
Totals,0.61,-41,65-106,8330,14960,129
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,3.33,7,10-3,1500,1642,2:0
Formal,1.33,1,4-3,775,939,1:0
John,1.75,3,7-4,1150,1210,0:0
Skyz,2.5,3,5-2,1175,1052,2:0
Slacked,1,0,4-4,1005,655,1:1
Totals,1.88,14,30-16,5605,5498,6:1
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.17,-5,1-6,340,903,0:0
Dashy,0.33,-4,2-6,225,449,1:2
Karma,0.6,-2,3-5,450,770,0:0
Scump,1.14,1,8-7,875,1517,0:1
TJHaly,0.33,-4,2-6,580,713,0:3
Totals,0.53,-14,16-30,2470,4352,1:6
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.19,4,25-21,3550,4601,0:0
Formal,1,0,28-28,3650,6610,2:0
John,0.96,-1,24-25,3780,6197,2:1
Skyz,1.11,2,21-19,3850,4481,0:0
Slacked,0.95,-1,21-22,3750,4802,0:0
Totals,1.03,4,119-115,18580,26691,4:1
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.74,14,33-19,4795,6382,0:0
Dashy,1.3,6,26-20,3925,4936,0:0
Karma,0.67,-8,16-24,2940,4433,0:1
Scump,0.64,-9,16-25,2550,4294,1:1
TJHaly,0.77,-7,24-31,3425,5061,0:2
Totals,0.97,-4,115-119,17635,25106,1:4
