100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.13,2,17-15,3250,4046,64
Kenny,1.53,9,26-17,4185,5097,70
Octane,1.5,7,21-14,3235,4141,70
Priestahh,1.63,10,26-16,4110,4287,74
Slasher,1.3,6,26-20,3255,4754,64
Totals,1.41,34,116-82,18035,22325,342
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.95,-1,21-22,3370,4142,46
Havok,0.76,-6,19-25,2890,3603,25
MajorManiak,0.64,-9,16-25,2485,3558,17
Maux,1,0,17-17,2400,4244,22
Nagafen,0.33,-18,9-27,1465,3174,21
Totals,0.71,-34,82-116,12610,18721,131
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.71,-2,5-7,845,1329,1:1
Kenny,1.33,2,8-6,1165,1593,0:2
Octane,0.71,-2,5-7,525,942,1:1
Priestahh,0.33,-4,2-6,390,627,0:0
Slasher,1.33,2,8-6,900,1743,3:0
Totals,0.88,-4,28-32,3825,6234,5:4
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.88,-1,7-8,975,1325,1:2
Havok,1.5,3,9-6,1240,1704,2:0
MajorManiak,2,4,8-4,1450,1460,0:0
Maux,0.4,-3,2-5,425,1060,0:0
Nagafen,0.86,-1,6-7,1285,1512,1:3
Totals,1.07,2,32-30,5375,7061,4:5
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.47,-10,9-19,1430,2510,1:0
Kenny,0.39,-17,11-28,2520,3212,0:1
Octane,1.19,3,19-16,3210,4685,0:0
Priestahh,1.22,5,28-23,3525,4583,0:1
Slasher,1.32,6,25-19,3610,5310,1:0
Totals,0.88,-13,92-105,14295,20300,2:2
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.5,10,30-20,4110,6494,1:1
Havok,0.96,-1,25-26,3250,5032,1:1
MajorManiak,1.24,4,21-17,3570,3702,0:0
Maux,1.7,7,17-10,3010,4042,0:0
Nagafen,0.63,-7,12-19,1925,4045,0:0
Totals,1.14,13,105-92,15865,23315,2:2
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.06,1,18-17,2975,3830,61
Kenny,0.81,-3,13-16,2810,3521,50
Octane,2.18,13,24-11,3945,5210,137
Priestahh,0.8,-4,16-20,2550,3348,57
Slasher,1.13,2,18-16,2625,4285,61
Totals,1.11,9,89-80,14905,20194,366
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.28,5,23-18,3295,5286,32
Havok,0.85,-3,17-20,2445,2942,43
MajorManiak,0.67,-6,12-18,2490,3460,55
Maux,1,0,16-16,2980,3708,110
Nagafen,0.71,-5,12-17,2450,3585,105
Totals,0.9,-9,80-89,13660,18981,345
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.67,-2,4-6,1040,822,0:1
Kenny,1.13,1,9-8,1155,1448,3:1
Octane,0.43,-4,3-7,975,1896,0:1
Priestahh,1.71,5,12-7,1430,1849,3:0
Slasher,0.57,-3,4-7,725,1886,0:0
Totals,0.91,-3,32-35,5325,7901,6:3
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.13,1,9-8,1025,1799,2:4
Havok,0.38,-5,3-8,810,1141,0:2
MajorManiak,1,0,7-7,775,1431,0:0
Maux,1.4,2,7-5,1475,1735,1:0
Nagafen,1.8,4,9-5,1550,1401,0:0
Totals,1.06,2,35-33,5635,7507,3:6
