Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,0.96,-1,22-23,3305,4560,55
Formal,0.86,-3,19-22,2580,5222,63
John,0.74,-6,17-23,2800,4097,18
Skyz,0.6,-10,15-25,2825,3771,88
Slacked,1.04,1,29-28,4040,5048,24
Totals,0.84,-19,102-121,15550,22698,248
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.5,9,27-18,4060,4847,66
Denz,0.76,-5,16-21,3055,4517,91
Dylan,1.94,17,35-18,4985,6579,65
Wuskin,1.05,1,22-21,3490,4368,84
Zed,0.88,-3,21-24,3425,3938,50
Totals,1.19,19,121-102,19015,24249,356
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,2,5,10-5,1800,1687,1:1
Formal,1.75,3,7-4,1500,2487,0:0
John,0.57,-3,4-7,800,1397,1:1
Skyz,2.2,6,11-5,1535,1841,3:2
Slacked,1.13,1,9-8,1155,1449,0:1
Totals,1.41,12,41-29,6790,8861,5:5
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.78,-2,7-9,1250,943,1:0
Denz,0.83,-1,5-6,950,1316,0:0
Dylan,0.5,-4,4-8,875,1326,0:3
Wuskin,1,0,8-8,985,1321,2:0
Zed,0.5,-5,5-10,650,1284,2:2
Totals,0.71,-12,29-41,4710,6190,5:5
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1,0,20-20,3110,3687,1:1
Formal,1.65,11,28-17,3760,6089,0:0
John,0.74,-6,17-23,2765,4380,0:0
Skyz,1.5,8,24-16,4200,4230,1:0
Slacked,1.16,3,22-19,3500,3855,1:0
Totals,1.17,16,111-95,17335,22241,3:1
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.74,-6,17-23,2650,3741,0:1
Denz,0.61,-7,11-18,2425,3529,0:0
Dylan,0.79,-6,22-28,3100,5061,1:2
Wuskin,1,0,22-22,3355,4545,0:0
Zed,1.1,2,23-21,3150,5322,0:0
Totals,0.85,-17,95-112,14680,22198,1:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.05,1,23-22,3655,5010,112
Formal,0.9,-3,28-31,4070,5262,57
John,1,0,31-31,5100,6754,67
Skyz,1.09,2,24-22,4565,5943,89
Slacked,1,0,28-28,4100,6202,81
Totals,1,0,134-134,21490,29171,406
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.07,2,29-27,3850,5842,78
Denz,0.91,-2,20-22,3840,5268,100
Dylan,1.52,13,38-25,5475,6439,113
Wuskin,0.75,-7,21-28,3010,4665,64
Zed,0.81,-6,26-32,4330,5734,49
Totals,1,0,134-134,20505,27948,404
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.29,2,9-7,1050,1453,2:2
Formal,0.25,-6,2-8,300,919,0:0
John,0.86,-1,6-7,1200,1520,1:0
Skyz,0.57,-3,4-7,550,1204,1:1
Slacked,0.86,-1,6-7,1055,1459,1:0
Totals,0.75,-9,27-36,4155,6555,5:3
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.8,4,9-5,1075,1484,0:2
Denz,0.4,-3,2-5,1150,1294,0:1
Dylan,1.6,3,8-5,1115,1496,3:1
Wuskin,0.43,-4,3-7,375,991,0:1
Zed,2.33,8,14-6,1685,1873,0:0
Totals,1.29,8,36-28,5400,7138,3:5
