eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.93,-2,26-28,3845,5190,89
Arcitys,1.08,2,28-26,4195,5470,98
Clayster,1,0,25-25,3090,5282,22
Prestinni,0.77,-7,23-30,3555,5250,40
Simp,0.89,-3,24-27,3560,5439,69
Totals,0.93,-10,126-136,18245,26631,318
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.84,-5,27-32,4020,5165,91
Cellium,1.3,7,30-23,4085,5051,41
Skrapz,1.38,9,33-24,4320,7032,35
Zer0,0.77,-5,17-22,3655,4385,76
Zoomaa,1.16,4,29-25,4695,5855,49
Totals,1.08,10,136-126,20775,27488,292
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.78,-2,7-9,800,1775,1:3
Arcitys,1.33,2,8-6,1775,1835,1:0
Clayster,1,0,7-7,915,1867,1:2
Prestinni,0.63,-3,5-8,1025,1432,1:1
Simp,4.25,13,17-4,1745,2678,1:0
Totals,1.29,10,44-34,6260,9587,5:6
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.78,-2,7-9,765,1783,3:2
Cellium,0.88,-1,7-8,925,1654,0:0
Skrapz,1.25,2,10-8,1375,1782,1:1
Zer0,0.1,-9,1-10,515,826,0:1
Zoomaa,1,0,9-9,1150,1637,2:1
Totals,0.77,-10,34-44,4730,7682,6:5
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.29,7,31-24,4525,6067,1:1
Arcitys,0.96,-1,23-24,3800,4510,1:0
Clayster,1,0,27-27,4660,5942,0:1
Prestinni,0.65,-11,20-31,3275,4461,0:1
Simp,1.62,13,34-21,5275,5944,0:0
Totals,1.06,8,135-127,21535,26924,2:3
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.7,-9,21-30,3125,5038,1:1
Cellium,1,0,30-30,4225,6448,1:0
Skrapz,0.88,-3,23-26,3225,5348,0:1
Zer0,1.09,2,24-22,3210,5251,1:0
Zoomaa,1.07,2,29-27,3730,5308,0:0
Totals,0.94,-8,127-135,17515,27393,3:2
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,2.33,12,21-9,2620,3375,37
Arcitys,2.2,12,22-10,3090,3397,154
Clayster,1.9,9,19-10,2880,3505,40
Prestinni,1.18,2,13-11,2460,3117,46
Simp,1,0,14-14,2700,3393,51
Totals,1.65,35,89-54,13750,16787,328
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.33,-14,7-21,1130,1770,21
Cellium,0.65,-7,13-20,1850,3188,2
Skrapz,1.13,2,17-15,2440,3413,24
Zer0,0.41,-10,7-17,1175,2106,7
Zoomaa,0.56,-7,9-16,1565,2161,32
Totals,0.6,-36,53-89,8160,12638,86
