FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.64,-9,16-25,2605,3371,30
Cellium,0.63,-7,12-19,1910,3301,43
Skrapz,0.91,-2,20-22,2940,3377,22
Zer0,0.7,-6,14-20,2405,3363,31
Zoomaa,0.65,-8,15-23,2520,3054,41
Totals,0.71,-32,77-109,12380,16466,167
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.88,14,30-16,3660,5442,73
Havok,1.33,6,24-18,4025,4927,44
MajorManiak,1,0,15-15,2435,2706,79
Maux,2.1,11,21-10,3595,3349,141
Nagafen,1.06,1,19-18,2645,3674,40
Totals,1.42,32,109-77,16360,20098,377
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.5,-5,5-10,725,1347,2:3
Cellium,0.78,-2,7-9,925,1698,0:2
Skrapz,0.56,-4,5-9,950,1392,1:1
Zer0,1.5,4,12-8,1550,2514,1:0
Zoomaa,0.78,-2,7-9,1045,1098,0:1
Totals,0.8,-9,36-45,5195,8049,4:7
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.29,2,9-7,1400,2052,3:0
Havok,0.56,-4,5-9,865,1948,2:2
MajorManiak,3.25,9,13-4,1775,1774,0:0
Maux,0.78,-2,7-9,925,1599,2:1
Nagafen,1.43,3,10-7,2035,2322,0:1
Totals,1.22,8,44-36,7000,9695,7:4
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.62,-10,16-26,2350,3023,0:2
Cellium,0.7,-7,16-23,2575,4015,0:0
Skrapz,1.31,5,21-16,3450,4470,0:2
Zer0,0.77,-3,10-13,2680,3379,0:0
Zoomaa,0.86,-3,18-21,2920,3681,0:1
Totals,0.82,-18,81-99,13975,18568,0:5
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.13,17,32-15,4625,6400,3:0
Havok,1.06,1,19-18,3075,3573,1:0
MajorManiak,0.65,-6,11-17,2315,2812,0:0
Maux,1.55,6,17-11,3660,3849,0:0
Nagafen,1,0,20-20,2800,4031,1:0
Totals,1.22,18,99-81,16475,20665,5:0
