Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.09,2,25-23,3830,5813,31
Havok,0.74,-6,17-23,2665,3700,86
MajorManiak,1.93,14,29-15,4325,4469,45
Maux,1.73,11,26-15,3780,5043,75
Nagafen,1.05,1,23-22,3485,4915,107
Totals,1.22,22,120-98,18085,23940,344
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.9,-2,19-21,3020,4531,38
Huke,0.96,-1,22-23,3090,4377,60
Jurd,0.56,-11,14-25,2545,4190,30
Loony,0.92,-2,23-25,3390,5188,67
Temp,0.77,-6,20-26,3410,4320,73
Totals,0.82,-22,98-120,15455,22606,268
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.14,1,8-7,1550,1904,2:0
Havok,0.56,-4,5-9,590,1538,1:1
MajorManiak,1.38,3,11-8,1300,2382,2:1
Maux,0.67,-3,6-9,700,1576,1:1
Nagafen,0.63,-3,5-8,745,1228,1:0
Totals,0.85,-6,35-41,4885,8628,7:3
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1,0,8-8,1125,1906,1:1
Huke,2.33,8,14-6,1850,2089,1:2
Jurd,0.57,-3,4-7,575,1368,0:1
Loony,0.5,-4,4-8,750,1283,0:1
Temp,1.67,4,10-6,1550,2188,1:2
Totals,1.14,5,40-35,5850,8834,3:7
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.23,3,16-13,3075,3741,0:1
Havok,1.57,8,22-14,3375,3471,1:0
MajorManiak,1.2,2,12-10,2395,2327,0:0
Maux,2,6,12-6,2895,2704,1:0
Nagafen,0.93,-1,13-14,1900,3222,0:0
Totals,1.32,18,75-57,13640,15465,2:1
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.57,-6,8-14,1700,2971,0:0
Huke,0.93,-1,14-15,1875,2905,0:0
Jurd,0.69,-5,11-16,2065,2318,0:1
Loony,0.73,-4,11-15,1500,2035,0:0
Temp,0.87,-2,13-15,1775,3678,1:1
Totals,0.76,-18,57-75,8915,13907,1:2
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.35,6,23-17,3315,4198,53
Havok,0.89,-2,16-18,2950,3624,75
MajorManiak,1.07,1,16-15,2335,3204,62
Maux,1.55,6,17-11,2835,3806,52
Nagafen,0.8,-3,12-15,2375,2606,67
Totals,1.11,8,84-76,13810,17438,309
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.81,-3,13-16,1940,2773,8
Huke,0.94,-1,17-18,2450,3692,21
Jurd,0.79,-4,15-19,2465,2671,18
Loony,1.06,1,18-17,2480,3995,23
Temp,0.93,-1,13-14,2680,3178,42
Totals,0.9,-8,76-84,12015,16309,112
