OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.38,8,29-21,4295,5491,76
Dashy,0.86,-4,24-28,3230,5647,70
Karma,0.89,-3,24-27,3390,4597,84
Scump,1,0,25-25,3365,5124,45
TJHaly,1,0,29-29,3980,5907,73
Totals,1.01,1,131-130,18260,26766,348
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.17,4,27-23,3925,4183,83
Methodz,1.04,1,27-26,3510,6017,42
Parzelion,0.71,-9,22-31,3185,5014,44
Royalty,1.24,6,31-25,4345,5464,43
Zaptius,0.88,-3,23-26,3280,4498,28
Totals,0.99,-1,130-131,18245,25176,240
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.83,-1,5-6,1050,1258,0:2
Dashy,2,4,8-4,1000,1053,1:0
Karma,1.75,3,7-4,1075,1765,3:1
Scump,1.25,1,5-4,980,797,0:0
TJHaly,1.83,5,11-6,1350,2300,1:0
Totals,1.5,12,36-24,5455,7173,5:3
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.63,-3,5-8,900,1498,0:0
Methodz,0.71,-2,5-7,550,1411,0:2
Parzelion,0.86,-1,6-7,625,1402,1:0
Royalty,0.43,-4,3-7,475,962,1:1
Zaptius,0.63,-3,5-8,850,1142,1:2
Totals,0.65,-13,24-37,3400,6415,3:5
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.13,3,26-23,4115,6390,2:0
Dashy,1.67,10,25-15,4880,5840,0:0
Karma,0.8,-5,20-25,2975,4626,0:1
Scump,0.87,-3,20-23,3505,4501,0:1
TJHaly,0.95,-1,20-21,3700,3407,1:0
Totals,1.04,4,111-107,19175,24764,3:2
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.84,-4,21-25,3025,4613,2:0
Methodz,1.05,1,22-21,3025,5083,0:1
Parzelion,0.58,-10,14-24,2975,4369,0:0
Royalty,1.26,5,24-19,3075,4140,0:2
Zaptius,1.18,4,26-22,4280,5632,0:0
Totals,0.96,-4,107-111,16380,23837,2:3
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,3.5,15,21-6,2850,3466,70
Dashy,1.5,5,15-10,2275,3384,71
Karma,2,9,18-9,2675,2870,45
Scump,1.08,1,13-12,2405,3357,87
TJHaly,1.82,9,20-11,2755,3882,66
Totals,1.81,39,87-48,12960,16959,339
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.59,-7,10-17,1200,2549,6
Methodz,1.12,2,19-17,2305,3352,18
Parzelion,0.24,-13,4-17,1765,2013,17
Royalty,0.59,-7,10-17,1475,2510,14
Zaptius,0.25,-15,5-20,750,1561,5
Totals,0.55,-40,48-88,7495,11985,60
