Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.13,3,26-23,3340,5342,15
Lacefield,1.47,9,28-19,4090,4903,131
LlamaGod,0.48,-12,11-23,2425,3279,47
Parasite,1,0,21-21,2965,4716,88
Saints,1.55,11,31-20,4460,6359,83
Totals,1.1,11,117-106,17280,24599,364
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,0.96,-1,23-24,3185,4542,52
Dylan,0.96,-1,23-24,3770,5105,56
Seany,0.81,-4,17-21,2715,4145,56
Wuskin,0.95,-1,21-22,2580,4065,96
Zed,0.81,-5,21-26,3310,4053,78
Totals,0.9,-12,105-117,15560,21910,338
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.17,-5,1-6,200,718,0:0
Lacefield,0.17,-5,1-6,125,562,0:1
LlamaGod,0.33,-4,2-6,225,492,0:1
Parasite,0.33,-4,2-6,225,637,0:3
Saints,0.33,-4,2-6,200,521,0:1
Totals,0.27,-22,8-30,975,2930,0:6
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,5,4,5-1,650,716,1:0
Dylan,3.5,5,7-2,1180,1146,0:0
Seany,1.5,1,3-2,815,1143,2:0
Wuskin,5,4,5-1,775,1217,2:0
Zed,5,8,10-2,1495,1035,1:0
Totals,3.75,22,30-8,4915,5257,6:0
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.45,10,32-22,4105,5853,1:0
Lacefield,0.81,-5,22-27,3150,4791,1:1
LlamaGod,0.5,-13,13-26,2935,3730,0:1
Parasite,1,0,23-23,4050,5303,0:0
Saints,0.65,-9,17-26,2725,4302,1:0
Totals,0.86,-17,107-124,16965,23979,3:2
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.84,-3,16-19,3070,4495,0:0
Dylan,1.27,7,33-26,4175,6105,1:1
Seany,0.95,-1,21-22,2925,4450,0:1
Wuskin,1.13,3,26-23,3455,5259,0:1
Zed,1.35,6,23-17,4000,5116,1:0
Totals,1.11,12,119-107,17625,25425,2:3
