Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.68,-9,19-28,3085,4647,60
Formal,1.11,3,31-28,4890,6945,73
Gunless,1.04,1,28-27,3735,5637,41
John,1.43,10,33-23,4490,6078,98
Slacked,0.93,-2,25-27,4425,5367,58
Totals,1.02,3,136-133,20625,28674,330
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.32,7,29-22,4515,5136,92
Methodz,1.19,5,31-26,4630,5828,66
Parzelion,0.93,-2,25-27,4035,5722,69
Royalty,0.77,-8,27-35,4615,5465,60
Zaptius,0.81,-5,21-26,4860,5663,72
Totals,0.98,-3,133-136,22655,27814,359
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.9,-1,9-10,1325,1867,0:0
Formal,1.29,2,9-7,1225,1350,5:2
Gunless,0.63,-3,5-8,750,1078,0:1
John,0.56,-4,5-9,600,811,1:0
Slacked,0.78,-2,7-9,1150,1892,0:1
Totals,0.81,-8,35-43,5050,6998,6:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.71,5,12-7,1645,2127,1:0
Methodz,1.29,2,9-7,1325,2201,1:0
Parzelion,1.29,2,9-7,1200,2184,0:0
Royalty,0.63,-3,5-8,550,1110,1:5
Zaptius,1.17,1,7-6,1200,1368,1:1
Totals,1.2,7,42-35,5920,8990,4:6
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1,0,18-18,3155,3435,1:0
Formal,0.95,-1,20-21,3250,5234,1:0
Gunless,1.81,13,29-16,4275,5936,0:0
John,0.48,-11,10-21,1675,3048,0:0
Slacked,1.29,5,22-17,3575,4786,2:0
Totals,1.06,6,99-93,15930,22439,4:0
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.91,-2,21-23,3350,4611,0:1
Methodz,0.75,-5,15-20,2775,3786,0:0
Parzelion,1.13,2,18-16,2935,3802,0:0
Royalty,0.58,-10,14-24,2675,4015,0:2
Zaptius,1.56,9,25-16,4025,4348,0:1
Totals,0.94,-6,93-99,15760,20562,0:4
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.04,1,29-28,4430,4767,84
Formal,0.89,-3,24-27,4675,6523,86
Gunless,0.9,-3,27-30,4000,6442,21
John,0.73,-8,22-30,3785,4438,32
Slacked,0.85,-5,28-33,3870,5528,80
Totals,0.88,-18,130-148,20760,27698,303
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.96,-1,24-25,3740,5225,63
Methodz,1.63,15,39-24,4955,6827,90
Parzelion,1.28,7,32-25,5000,6505,43
Royalty,1.07,2,30-28,4110,6075,79
Zaptius,0.82,-5,23-28,3005,4796,35
Totals,1.14,18,148-130,20810,29428,310
