FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.32,7,29-22,4120,5928,109
Cellium,1,0,23-23,3205,4755,79
Skrapz,1.19,5,31-26,4470,6391,89
Zer0,1.04,1,24-23,3655,5681,68
Zoomaa,0.96,-1,23-24,3235,4258,56
Totals,1.1,12,130-118,18685,27013,401
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.83,-4,20-24,3305,4182,111
Havok,0.73,-8,22-30,3250,4921,79
MajorManiak,1.17,4,27-23,3910,5346,81
Maux,1.17,4,28-24,3850,6173,64
Nagafen,0.7,-9,21-30,3170,5069,38
Totals,0.9,-13,118-131,17485,25691,373
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.78,-2,7-9,1375,1375,0:3
Cellium,1,0,9-9,1100,2419,1:0
Skrapz,0.63,-3,5-8,775,1710,0:1
Zer0,0.75,-2,6-8,850,2060,0:2
Zoomaa,1,0,9-9,1175,1940,2:1
Totals,0.84,-7,36-43,5275,9504,3:7
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.8,-2,8-10,950,1793,4:1
Havok,1,0,9-9,1300,2020,1:0
MajorManiak,1.5,3,9-6,1125,1776,0:0
Maux,2,5,10-5,1500,2357,1:1
Nagafen,1,0,7-7,1275,1374,1:1
Totals,1.16,6,43-37,6150,9320,7:3
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.92,11,23-12,3735,4412,0:0
Cellium,0.87,-2,13-15,2825,3335,1:1
Skrapz,1.38,5,18-13,2850,2951,1:1
Zer0,2,13,26-13,3470,4771,0:0
Zoomaa,1,0,15-15,2965,3339,0:0
Totals,1.4,27,95-68,15845,18808,2:2
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.06,1,19-18,2950,3465,1:0
Havok,0.43,-13,10-23,1925,2945,0:1
MajorManiak,0.67,-6,12-18,1955,3155,0:0
Maux,0.81,-4,17-21,2575,3637,1:0
Nagafen,0.56,-8,10-18,1750,2445,0:1
Totals,0.69,-30,68-98,11155,15647,2:2
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.62,8,21-13,3340,3837,76
Cellium,1.24,4,21-17,3415,4440,47
Skrapz,2,12,24-12,3730,4685,114
Zer0,2.55,17,28-11,3670,5001,57
Zoomaa,0.75,-6,18-24,3015,4307,50
Totals,1.45,35,112-77,17170,22270,344
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.52,-11,12-23,1575,3452,15
Havok,0.77,-5,17-22,2640,3658,48
MajorManiak,1.24,4,21-17,2990,4012,35
Maux,0.71,-7,17-24,2250,4061,15
Nagafen,0.38,-16,10-26,1795,2595,16
Totals,0.69,-35,77-112,11250,17778,129
