Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Faccento,0.64,-9,16-25,3620,0,64
Felony,1.38,9,33-24,4965,0,21
Goonjar,0.79,-5,19-24,3785,0,78
Royalty,0.76,-6,19-25,3430,0,70
Xotic,1.35,8,31-23,4540,0,42
Totals,0.98,-3,118-121,20340,0,275
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.96,-1,24-25,3580,0,57
Karma,1.41,9,31-22,4395,0,68
Scump,0.92,-2,22-24,4565,0,101
TJHaly,0.75,-6,18-24,3370,0,32
Zoomaa,1.13,3,26-23,4435,0,76
Totals,1.03,3,121-118,20345,0,334
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.14,-6,1-7,300,0,0:1
Felony,0.71,-2,5-7,550,0,0:2
Goonjar,0.17,-5,1-6,200,0,0:1
Royalty,0.43,-4,3-7,525,0,0:2
Xotic,0.83,-1,5-6,825,0,0:1
Totals,0.45,-18,15-33,2400,0,0:7
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,5.5,9,11-2,1375,0,2:0
Karma,1.75,3,7-4,1150,0,3:0
Scump,1,0,3-3,1315,0,0:0
TJHaly,1.67,2,5-3,575,0,2:0
Zoomaa,2,3,6-3,920,0,0:0
Totals,2.13,17,32-15,5335,0,7:0
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.63,-10,17-27,3785,0,0:1
Felony,0.71,-8,20-28,3945,0,2:0
Goonjar,0.84,-4,21-25,3550,0,0:0
Royalty,1.08,2,26-24,4525,0,0:2
Xotic,1.31,8,34-26,5225,0,0:0
Totals,0.91,-12,118-130,21030,0,2:3
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.35,7,27-20,4550,0,0:1
Karma,1.21,5,29-24,3560,0,0:1
Scump,0.85,-4,23-27,4110,0,2:0
TJHaly,1.07,2,30-28,4325,0,0:0
Zoomaa,1.11,2,21-19,3705,0,1:0
Totals,1.1,12,130-118,20250,0,3:2
