FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.15,2,15-13,2510,2736,79
Cellium,1.36,5,19-14,2755,3813,63
Skrapz,1.91,10,21-11,2675,3582,63
Zer0,1.9,9,19-10,2760,3695,53
Zoomaa,1.89,8,17-9,2790,3310,119
Totals,1.6,34,91-57,13490,17136,377
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.65,-7,13-20,1745,3504,33
Lacefield,0.5,-9,9-18,1560,2704,44
LlamaGod,1.07,1,16-15,1980,2887,24
Parasite,0.56,-8,10-18,1925,2198,36
Saints,0.45,-11,9-20,1175,2615,5
Totals,0.63,-34,57-91,8385,13908,142
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.96,0.94,-3,51-54,8765,9943
Cellium,1.52,1.5,24,72-48,10305,14069
Skrapz,1.26,1.26,12,58-46,8865,11257
Zer0,1.3,1.33,14,56-42,8545,12329
Zoomaa,1.09,1.12,6,55-49,8950,11456
Totals,1.22,1.22,53,292-239,45430,59054
Midnight,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,0.95,0.95,-3,56-59,7165,13212
Lacefield,0.7,0.7,-19,44-63,6815,11480
LlamaGod,0.85,0.88,-6,44-50,6600,9733
Parasite,0.83,0.82,-10,46-56,7860,10004
Saints,0.79,0.77,-15,49-64,7095,10378
Totals,0.82,0.82,-53,239-292,35535,54807
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.11,2,21-19,3375,3925,1:1
Cellium,1.81,13,29-16,3990,5374,0:1
Skrapz,1.24,4,21-17,3550,4113,0:0
Zer0,0.93,-1,14-15,2940,3956,0:0
Zoomaa,0.74,-5,14-19,2795,3397,0:1
Totals,1.15,13,99-86,16650,20765,1:3
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.95,-1,20-21,2525,5097,1:0
Lacefield,0.68,-7,15-22,2225,4044,0:0
LlamaGod,0.53,-8,9-17,1680,2690,0:0
Parasite,1,0,18-18,3045,4159,2:0
Saints,1.14,3,24-21,3300,3967,0:1
Totals,0.87,-13,86-99,12775,19957,3:1
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.68,-7,15-22,2880,3282,125
Cellium,1.33,6,24-18,3560,4882,74
Skrapz,0.89,-2,16-18,2640,3562,69
Zer0,1.35,6,23-17,2845,4678,36
Zoomaa,1.14,3,24-21,3365,4749,53
Totals,1.06,6,102-96,15290,21153,357
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.28,5,23-18,2895,4611,57
Lacefield,0.87,-3,20-23,3030,4732,38
LlamaGod,1.06,1,19-18,2940,4156,41
Parasite,0.9,-2,18-20,2890,3647,54
Saints,0.7,-7,16-23,2620,3796,66
Totals,0.94,-6,96-102,14375,20942,256
