Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.61,-9,14-23,1675,2770,4
Attach,0.63,-7,12-19,1450,2628,10
JKap,0.5,-10,10-20,1450,2644,6
Phantomz,0.57,-6,8-14,1245,2100,35
Xotic,1.06,1,17-16,2385,3238,56
Totals,0.66,-31,61-92,8205,13380,111
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1.07,1,15-14,2180,2752,58
Dylan,2.14,16,30-14,4655,5560,74
Seany,1.08,1,14-13,2300,3348,85
Wuskin,1.09,1,12-11,2505,2972,99
Zed,2.1,11,21-10,2785,3562,58
Totals,1.48,30,92-62,14425,18194,374
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.67,-3,6-9,830,1399,1:1
Attach,1.25,2,10-8,1200,2371,1:2
JKap,1.29,2,9-7,1225,2167,0:1
Phantomz,0.25,-6,2-8,375,1348,0:1
Xotic,0.7,-3,7-10,1270,1178,1:2
Totals,0.81,-8,34-42,4900,8463,3:7
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.43,-4,3-7,450,1328,1:0
Dylan,1.71,5,12-7,1755,1671,6:0
Seany,1.11,1,10-9,1175,2031,0:0
Wuskin,1.33,2,8-6,1210,1530,0:0
Zed,0.88,-1,7-8,1300,1496,0:3
Totals,1.08,3,40-37,5890,8056,7:3
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,1.12,2,19-17,2920,3492,0:1
Attach,1,0,11-11,2375,3231,0:1
JKap,0.94,-1,15-16,2400,2716,0:0
Phantomz,1.15,2,15-13,2895,3859,0:1
Xotic,1.06,1,17-16,2790,3242,0:0
Totals,1.05,4,77-73,13380,16540,0:3
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.79,-3,11-14,1700,3029,0:0
Dylan,1.12,2,19-17,2600,3017,1:0
Seany,1,0,14-14,2025,3372,1:0
Wuskin,0.82,-3,14-17,2535,3424,1:0
Zed,1,0,15-15,2375,3681,0:0
Totals,0.95,-4,73-77,11235,16523,3:0
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.62,-13,21-34,3290,5030,61
Attach,0.7,-8,19-27,3120,4947,64
JKap,0.79,-6,22-28,3450,4604,79
Phantomz,1.13,3,26-23,3610,5448,74
Xotic,1.2,5,30-25,4660,5454,85
Totals,0.86,-19,118-137,18130,25483,363
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1.21,4,23-19,3815,5139,83
Dylan,1.14,4,33-29,4390,6647,106
Seany,0.68,-8,17-25,2805,4668,42
Wuskin,2.11,20,38-18,5230,7060,72
Zed,0.89,-3,25-28,4280,5368,65
Totals,1.14,17,136-119,20520,28882,368
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.33,-6,3-9,475,840,1:2
Attach,0.75,-2,6-8,625,1531,0:2
JKap,1.17,1,7-6,1225,2133,1:1
Phantomz,0.83,-1,5-6,925,1789,1:0
Xotic,0.75,-2,6-8,1255,1069,1:0
Totals,0.73,-10,27-37,4505,7362,4:5
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.2,1,6-5,1025,1418,0:1
Dylan,1,0,5-5,1250,1076,1:1
Seany,1.8,4,9-5,1225,1935,2:1
Wuskin,1,0,6-6,735,1238,1:0
Zed,1.5,3,9-6,1275,1564,1:1
Totals,1.3,8,35-27,5510,7231,5:4
