Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.69,11,27-16,3720,5236,65
Bance,1.64,9,23-14,3065,4219,79
Brack,2.08,13,25-12,4070,5244,117
Joee,1.64,9,23-14,3830,4448,65
Rated,0.92,-1,12-13,2145,2719,98
Totals,1.59,41,110-69,16830,21866,424
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.38,-16,10-26,1375,3239,27
Decemate,0.52,-11,12-23,1775,2848,21
Fero,0.81,-4,17-21,2425,4297,13
Huke,1.05,1,20-19,3065,4410,30
Silly,0.43,-12,9-21,1495,1919,35
Totals,0.62,-42,68-110,10135,16713,126
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.33,2,8-6,1325,1866,1:0
Bance,1,0,6-6,975,1218,2:0
Brack,1.67,4,10-6,1500,1607,4:1
Joee,1,0,5-5,950,1238,0:1
Rated,0.71,-2,5-7,1000,1175,0:1
Totals,1.13,4,34-30,5750,7104,7:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.71,-2,5-7,600,1693,0:2
Decemate,0.78,-2,7-9,825,1368,2:2
Fero,1.5,2,6-4,875,1333,0:0
Huke,0.71,-2,5-7,1145,1433,0:2
Silly,0.86,-1,6-7,1025,1346,1:1
Totals,0.85,-5,29-34,4470,7173,3:7
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.8,-4,16-20,2725,4534,1:0
Bance,0.82,-4,18-22,2500,3331,2:1
Brack,0.84,-4,21-25,3355,4778,0:0
Joee,0.76,-4,13-17,2125,3418,0:0
Rated,0.9,-2,19-21,3300,4606,0:0
Totals,0.83,-18,87-105,14005,20667,3:1
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1,0,18-18,3290,3775,1:1
Decemate,0.95,-1,19-20,3725,4849,0:1
Fero,1.31,5,21-16,2975,3978,0:0
Huke,1.56,9,25-16,3600,4919,0:1
Silly,1.29,5,22-17,3285,4755,0:0
Totals,1.21,18,105-87,16875,22276,1:3
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.64,-9,16-25,2715,3582,27
Bance,1.08,2,26-24,3425,4603,44
Brack,1.05,1,22-21,3255,4265,45
Joee,0.88,-3,22-25,3160,5086,35
Rated,0.79,-5,19-24,2660,4123,29
Totals,0.88,-14,105-119,15215,21659,180
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.76,-6,19-25,3160,4100,72
Decemate,0.75,-6,18-24,2695,4155,81
Fero,1.11,2,20-18,2970,5037,65
Huke,1.6,12,32-20,4165,5060,76
Silly,1.67,12,30-18,4710,5094,105
Totals,1.13,14,119-105,17700,23446,399
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.2,1,6-5,900,827,1:1
Bance,0.67,-2,4-6,1000,1482,0:0
Brack,1,0,6-6,700,1383,1:2
Joee,1.5,2,6-4,1170,1440,0:0
Rated,2.6,8,13-5,1655,2786,3:0
Totals,1.35,9,35-26,5425,7918,5:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.57,-3,4-7,475,1794,0:1
Decemate,1,0,6-6,900,1207,0:1
Fero,0.86,-1,6-7,650,1652,1:0
Huke,1,0,7-7,775,1186,1:1
Silly,0.38,-5,3-8,625,1385,1:2
Totals,0.74,-9,26-35,3425,7224,3:5
