Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.72,-7,18-25,2715,4668,83
General,1.05,1,23-22,4045,4910,83
GodRx,1,0,21-21,3130,4756,61
Jetli,0.45,-16,13-29,2255,3984,34
Kismet,1.07,2,29-27,3370,5565,44
Totals,0.84,-20,104-124,15515,23883,305
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.71,-6,15-21,2555,4455,123
Aqua,0.73,-7,19-26,3390,4296,38
Jurd,1.33,7,28-21,4250,4533,81
Loony,1.09,2,24-22,3170,4855,70
Temp,2.71,24,38-14,3935,7199,70
Totals,1.19,20,124-104,17300,25338,382
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.89,-1,8-9,1050,1977,0:1
General,0.5,-4,4-8,650,1282,0:1
GodRx,0.75,-2,6-8,675,1337,1:0
Jetli,0.8,-2,8-10,875,1670,1:1
Kismet,0.78,-2,7-9,1325,1765,2:3
Totals,0.75,-11,33-44,4575,8031,4:6
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.6,3,8-5,1250,1805,2:0
Aqua,1.25,2,10-8,1565,1681,0:0
Jurd,2,5,10-5,1550,1807,1:2
Loony,0.78,-2,7-9,1200,1629,1:1
Temp,1.5,3,9-6,1150,2291,2:1
Totals,1.33,11,44-33,6715,9213,6:4
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.96,-1,23-24,3765,5007,0:0
General,1.24,5,26-21,4710,5544,0:2
GodRx,1.04,1,25-24,4205,4635,1:0
Jetli,0.91,-2,21-23,3450,4058,0:1
Kismet,0.92,-2,23-25,4400,5065,0:1
Totals,1.01,1,118-117,20530,24309,1:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.2,4,24-20,3750,4676,0:0
Aqua,1,0,24-24,4220,5639,2:0
Jurd,0.66,-10,19-29,2875,4536,1:0
Loony,0.95,-1,21-22,3775,4818,0:0
Temp,1.22,5,28-23,4195,6357,1:1
Totals,0.98,-2,116-118,18815,26026,4:1
