Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.48,11,34-23,4480,5692,79
MRuiz,1.42,8,27-19,3710,5556,74
Profeezy,0.76,-7,22-29,3435,4318,89
Skyz,0.48,-14,13-27,2240,4039,77
Wailers,1.04,1,26-25,4035,5545,65
Totals,0.99,-1,122-123,17900,25150,384
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.63,-10,17-27,2790,4875,79
Aqua,0.88,-3,22-25,3130,5515,60
Jurd,0.78,-6,21-27,3535,5576,37
Loony,2.06,19,37-18,5635,6722,121
Temp,1,0,25-25,3275,5144,28
Totals,1,0,122-122,18365,27832,325
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.88,-1,7-8,950,1403,0:0
MRuiz,0.57,-3,4-7,455,763,0:1
Profeezy,0.25,-6,2-8,775,857,1:1
Skyz,1.13,1,9-8,1125,1769,2:2
Wailers,0.33,-6,3-9,400,1395,1:1
Totals,0.63,-15,25-40,3705,6187,4:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.4,2,7-5,1200,1756,2:1
Aqua,2.2,6,11-5,1415,1716,1:1
Jurd,3,8,12-4,1800,1204,0:0
Loony,0.8,-1,4-5,820,1054,0:2
Temp,1,0,6-6,925,1286,2:0
Totals,1.6,15,40-25,6160,7016,5:4
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.57,8,22-14,3270,4159,0:1
MRuiz,1.46,6,19-13,3740,3513,0:0
Profeezy,1.25,3,15-12,3000,2847,0:0
Skyz,0.69,-5,11-16,2500,2944,0:2
Wailers,1,0,18-18,2150,3299,1:0
Totals,1.16,12,85-73,14660,16762,1:3
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.75,-4,12-16,2400,3745,1:1
Aqua,1,0,16-16,2610,3416,0:0
Jurd,0.8,-3,12-15,1975,3182,1:0
Loony,1,0,19-19,2695,3396,0:0
Temp,0.74,-5,14-19,1725,3966,1:0
Totals,0.86,-12,73-85,11405,17705,3:1
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.2,3,18-15,2650,4004,47
MRuiz,1.21,3,17-14,3135,3344,64
Profeezy,1.57,8,22-14,3585,3574,103
Skyz,1.62,8,21-13,3605,3710,70
Wailers,2.33,12,21-9,3440,4275,132
Totals,1.52,34,99-65,16415,18907,416
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.37,-12,7-19,1400,3104,3
Aqua,0.43,-12,9-21,1370,2878,15
Jurd,1.28,5,23-18,2870,3719,31
Loony,0.8,-4,16-20,2455,3920,25
Temp,0.48,-11,10-21,1685,3764,28
Totals,0.66,-34,65-99,9780,17385,102
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,6-6,825,1280,0:0
MRuiz,1.14,1,8-7,1145,1543,2:2
Profeezy,0.86,-1,6-7,825,1008,0:4
Skyz,0.75,-2,6-8,800,1590,1:0
Wailers,1.4,2,7-5,1050,1879,1:0
Totals,1,0,33-33,4645,7300,4:6
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1,0,7-7,900,1620,2:0
Aqua,1.5,3,9-6,1275,1438,2:1
Jurd,0.67,-2,4-6,900,1161,0:0
Loony,0.88,-1,7-8,825,1561,1:1
Temp,0.67,-2,4-6,600,1527,1:2
Totals,0.94,-2,31-33,4500,7307,6:4
