Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.65,-8,15-23,2330,2782,50
Lucky,0.56,-11,14-25,2280,3544,15
MethodZsick,0.91,-2,20-22,3040,4599,36
Mettalz,0.76,-6,19-25,2360,4220,40
Sukry,0.83,-4,20-24,3445,4360,66
Totals,0.74,-31,88-119,13455,19505,207
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.9,-2,18-20,2765,4608,90
Decemate,1.47,9,28-19,4130,5346,58
Fero,1.71,10,24-14,3825,5291,130
Huke,1.15,3,23-20,3625,4027,60
Silly,1.73,11,26-15,3465,4923,24
Totals,1.35,31,119-88,17810,24195,362
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,3.67,8,11-3,2100,1882,0:0
Lucky,1.25,1,5-4,800,1014,0:1
MethodZsick,1.25,1,5-4,1000,1486,1:0
Mettalz,1.8,4,9-5,1250,1286,4:0
Sukry,0.4,-3,2-5,425,489,1:1
Totals,1.52,11,32-21,5575,6157,6:2
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.33,2,8-6,1050,1316,1:0
Decemate,0.57,-3,4-7,400,748,1:1
Fero,0.29,-5,2-7,450,611,0:1
Huke,0.33,-4,2-6,225,668,0:3
Silly,0.83,-1,5-6,775,1188,0:1
Totals,0.66,-11,21-32,2900,4531,2:6
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.73,-4,11-15,1875,3283,0:0
Lucky,0.47,-10,9-19,1225,2374,0:1
MethodZsick,0.67,-6,12-18,1775,2843,0:0
Mettalz,0.5,-8,8-16,1200,2708,0:0
Sukry,1,0,15-15,2225,2672,1:0
Totals,0.66,-28,55-83,8300,13880,1:1
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.08,1,14-13,2065,3217,0:1
Decemate,1.62,8,21-13,2725,3369,0:0
Fero,1.75,6,14-8,2475,2748,1:0
Huke,1.9,9,19-10,2850,3854,0:0
Silly,1.27,3,14-11,2825,3411,0:0
Totals,1.49,27,82-55,12940,16599,1:1
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.26,7,34-27,4315,6632,25
Lucky,0.56,-15,19-34,3370,4728,49
MethodZsick,1,0,24-24,3490,5337,100
Mettalz,0.79,-5,19-24,2915,4833,75
Sukry,0.72,-8,21-29,3380,4632,85
Totals,0.85,-21,117-138,17470,26162,334
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.4,10,35-25,4710,6979,85
Decemate,1.29,6,27-21,4315,5534,84
Fero,1.17,4,27-23,3515,5765,57
Huke,1.05,1,23-22,3330,4682,53
Silly,1,0,26-26,3985,4856,90
Totals,1.18,21,138-117,19855,27816,369
