Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.22,4,22-18,3395,4549,83
Bance,0.83,-4,20-24,3190,4358,40
Brack,1.21,4,23-19,4205,5309,63
Joee,1.67,12,30-18,4785,4791,129
Rated,1.2,3,18-15,3350,4848,80
Totals,1.2,19,113-94,18925,23855,395
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.09,2,25-23,3445,5172,22
MRuiz,0.89,-2,16-18,2675,3618,38
Profeezy,0.61,-9,14-23,2445,3179,67
Skyz,0.82,-4,18-22,2890,3843,52
Wailers,0.78,-6,21-27,3390,5068,46
Totals,0.83,-19,94-113,14845,20880,225
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.25,2,10-8,1500,2284,0:0
Bance,1.14,1,8-7,1175,2038,0:0
Brack,1.86,6,13-7,2200,2574,2:1
Joee,0.8,-2,8-10,1055,1314,4:4
Rated,0.38,-5,3-8,725,1243,0:0
Totals,1.05,2,42-40,6655,9453,6:5
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.67,-3,6-9,875,1478,1:1
MRuiz,0.63,-3,5-8,870,1400,2:1
Profeezy,0.6,-4,6-10,1015,1070,0:3
Skyz,3.4,12,17-5,2585,4046,2:0
Wailers,0.6,-4,6-10,800,1536,0:1
Totals,0.95,-2,40-42,6145,9530,5:6
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.93,-2,25-27,3725,6982,1:0
Bance,0.83,-4,20-24,2625,3880,0:1
Brack,0.95,-1,19-20,3735,3876,0:1
Joee,0.61,-11,17-28,3370,4332,0:0
Rated,1.44,8,26-18,4095,5321,2:0
Totals,0.91,-10,107-117,17550,24391,3:2
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.09,2,24-22,3125,5256,1:0
MRuiz,0.72,-7,18-25,2650,5141,0:1
Profeezy,1.3,6,26-20,3675,4443,1:0
Skyz,1.36,8,30-22,4375,6098,0:2
Wailers,1.06,1,19-18,2780,4452,0:0
Totals,1.09,10,117-107,16605,25390,2:3
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.11,2,21-19,3725,4899,52
Bance,0.63,-10,17-27,2555,3277,57
Brack,1,0,20-20,2995,3735,54
Joee,0.66,-10,19-29,3145,4239,39
Rated,0.73,-6,16-22,2490,4485,60
Totals,0.79,-24,93-117,14910,20635,262
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.89,17,36-19,4900,6736,78
MRuiz,1.59,10,27-17,4055,4940,93
Profeezy,0.5,-11,11-22,2015,2861,79
Skyz,1.33,6,24-18,3590,5322,53
Wailers,1.06,1,18-17,3115,3908,82
Totals,1.25,23,116-93,17675,23767,385
