100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.54,-13,15-28,2245,4001,32
Kenny,0.92,-2,23-25,3015,4626,31
Octane,1.65,11,28-17,4145,5918,128
Priestahh,1.16,4,29-25,3670,5598,45
Slasher,1.04,1,26-25,3895,5265,108
Totals,1.01,1,121-120,16970,25408,344
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.04,1,24-23,3910,4825,53
Decemate,0.96,-1,24-25,3495,4598,38
Fero,0.9,-2,19-21,2740,4171,121
Huke,1.15,4,30-26,4070,5319,44
Silly,0.88,-3,23-26,3790,5563,56
Totals,0.99,-1,120-121,18005,24476,312
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.63,-3,5-8,800,1260,0:1
Kenny,1.86,6,13-7,2145,1893,3:0
Octane,1,0,9-9,1500,1868,0:1
Priestahh,0.9,-1,9-10,1255,1665,3:1
Slasher,0.45,-6,5-11,1200,2220,1:1
Totals,0.91,-4,41-45,6900,8906,7:4
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.44,-5,4-9,425,1115,0:4
Decemate,1.5,4,12-8,1550,1968,0:1
Fero,2,7,14-7,1775,2455,3:1
Huke,0.75,-2,6-8,880,964,1:0
Silly,0.89,-1,8-9,1475,2340,0:1
Totals,1.07,3,44-41,6105,8842,4:7
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,2.1,11,21-10,3710,3631,0:0
Kenny,1.13,2,17-15,2560,3531,0:0
Octane,0.94,-1,17-18,2950,4487,1:0
Priestahh,0.93,-1,14-15,2800,3895,0:1
Slasher,1.64,9,23-14,3170,3726,2:0
Totals,1.28,20,92-72,15190,19270,3:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.61,-7,11-18,2300,4230,1:1
Decemate,0.61,-9,14-23,1600,3274,0:1
Fero,0.63,-7,12-19,1325,2632,0:1
Huke,1.38,6,22-16,2750,4019,0:0
Silly,0.76,-4,13-17,2030,2984,0:0
Totals,0.77,-21,72-93,10005,17139,1:3
