Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.95,-1,18-19,2915,4001,66
MRuiz,0.83,-4,19-23,2755,3682,50
Profeezy,0.65,-8,15-23,1785,3095,47
Skyz,1.2,3,18-15,2790,4479,63
Wailers,0.83,-3,15-18,2055,3545,61
Totals,0.87,-13,85-98,12300,18802,287
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.2,3,18-15,2895,3531,71
General,1.6,9,24-15,3140,4532,77
GodRx,1.12,2,19-17,3130,4332,40
Jetli,0.78,-5,18-23,2455,3735,81
Kismet,1.27,4,19-15,3225,4183,85
Totals,1.15,13,98-85,14845,20313,354
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.8,4,9-5,1175,1758,3:1
MRuiz,1.83,5,11-6,1540,2203,1:0
Profeezy,1.29,2,9-7,1625,1744,0:0
Skyz,0.44,-5,4-9,450,815,0:3
Wailers,0.5,-4,4-8,550,975,0:1
Totals,1.06,2,37-35,5340,7495,4:5
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.88,-1,7-8,1110,1838,1:0
General,0.57,-3,4-7,525,1270,0:1
GodRx,1.57,4,11-7,1710,2278,1:1
Jetli,0.67,-3,6-9,650,946,2:1
Kismet,1,0,7-7,1200,1497,1:1
Totals,0.92,-3,35-38,5195,7829,5:4
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.75,-3,9-12,1100,1872,0:0
MRuiz,0.53,-7,8-15,1555,2295,0:1
Profeezy,0.76,-4,13-17,1700,2721,0:2
Skyz,1.08,1,13-12,2075,3017,0:0
Wailers,0.92,-1,11-12,1825,2101,0:0
Totals,0.79,-14,54-68,8255,12006,0:3
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.17,2,14-12,2625,3029,0:0
General,1.75,6,14-8,2875,3322,1:0
GodRx,1.5,5,15-10,3245,2804,0:0
Jetli,0.77,-3,10-13,2175,2589,0:0
Kismet,1.36,4,15-11,2035,2275,2:0
Totals,1.26,14,68-54,12955,14019,3:0
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.1,2,23-21,4085,4717,131
MRuiz,0.86,-3,19-22,3325,4224,38
Profeezy,1.35,8,31-23,4585,5592,103
Skyz,1.25,5,25-20,3895,4994,106
Wailers,1.1,2,23-21,3260,4461,43
Totals,1.13,14,121-107,19150,23988,421
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.05,1,23-22,3140,4586,42
General,1.17,4,27-23,3895,6376,56
GodRx,0.86,-3,19-22,2985,5255,45
Jetli,0.52,-15,16-31,2370,3931,44
Kismet,0.96,-1,22-23,3495,4620,114
Totals,0.88,-14,107-121,15885,24768,301
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.67,4,10-6,1425,1778,2:0
MRuiz,1.5,3,9-6,1100,1574,2:1
Profeezy,0.33,-4,2-6,1025,1018,0:0
Skyz,1.57,4,11-7,1400,2687,1:0
Wailers,1.17,1,7-6,825,1584,3:1
Totals,1.26,8,39-31,5775,8641,8:2
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.5,-4,4-8,625,1385,0:2
General,1.14,1,8-7,900,2187,1:0
GodRx,1.14,1,8-7,1030,1769,0:0
Jetli,0.78,-2,7-9,965,1697,0:2
Kismet,0.5,-4,4-8,950,1158,1:4
Totals,0.79,-8,31-39,4470,8196,2:8
