100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.8,-5,20-25,3780,4835,85
Kenny,1.38,8,29-21,4195,5871,31
Octane,1.33,7,28-21,4295,5146,172
Priestahh,0.92,-2,23-25,2935,4800,21
Slasher,1.13,3,27-24,3900,4887,56
Totals,1.09,11,127-116,19105,25539,365
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.15,4,30-26,4250,5815,24
Lucky,1.05,1,23-22,2925,4801,55
MethodZsick,0.41,-17,12-29,1895,2921,32
Mettalz,1.1,3,33-30,4080,6308,62
Sukry,0.9,-2,18-20,3585,4799,151
Totals,0.91,-11,116-127,16735,24644,324
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.89,-1,8-9,1250,2015,1:0
Kenny,0.3,-7,3-10,400,895,2:3
Octane,1.25,2,10-8,1325,1937,2:2
Priestahh,1.43,3,10-7,1370,1584,1:0
Slasher,0.27,-8,3-11,525,1049,0:0
Totals,0.76,-11,34-45,4870,7480,6:5
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1,0,8-8,1415,1570,1:1
Lucky,1.33,2,8-6,1025,1808,2:2
MethodZsick,1.67,4,10-6,1300,1404,1:2
Mettalz,1.43,3,10-7,1500,1948,0:0
Sukry,1.14,1,8-7,1120,2044,1:1
Totals,1.29,10,44-34,6360,8774,5:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.45,5,16-11,2775,3171,0:0
Kenny,0.9,-2,18-20,2695,3721,0:0
Octane,1.33,4,16-12,2450,3679,0:0
Priestahh,1.38,6,22-16,3500,4759,1:0
Slasher,1.31,4,17-13,2550,3057,1:1
Totals,1.24,17,89-72,13970,18387,2:1
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.67,-6,12-18,2055,2695,0:0
Lucky,0.95,-1,18-19,2425,3846,0:2
MethodZsick,0.71,-5,12-17,1775,2720,0:0
Mettalz,0.9,-2,19-21,2325,4002,0:0
Sukry,0.79,-3,11-14,1575,2835,1:0
Totals,0.81,-17,72-89,10155,16098,1:2
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.14,2,16-14,3215,2990,92
Kenny,1.36,5,19-14,2990,2916,67
Octane,1.83,10,22-12,3820,4126,82
Priestahh,2,11,22-11,3150,4056,25
Slasher,2,10,20-10,3650,4392,102
Totals,1.62,38,99-61,16825,18480,368
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.52,-11,12-23,1780,2495,21
Lucky,0.38,-13,8-21,1520,2680,49
MethodZsick,0.65,-8,15-23,1890,2697,20
Mettalz,0.94,-1,16-17,2340,3337,28
Sukry,0.67,-5,10-15,2485,2836,36
Totals,0.62,-38,61-99,10015,14045,154
