Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.04,1,25-24,3705,5980,85
MRuiz,1.09,2,25-23,3475,4724,85
Profeezy,0.74,-7,20-27,3170,5533,60
Skyz,1.7,14,34-20,5360,6330,110
Wailers,1.23,5,27-22,4225,6270,72
Totals,1.13,15,131-116,19935,28837,412
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.76,-6,19-25,3455,4868,77
Arcitys,0.68,-8,17-25,3145,4478,93
Clayster,0.85,-4,23-27,3100,5705,22
Prestinni,1.24,6,31-25,4190,6515,100
Simp,0.9,-3,26-29,3485,6042,61
Totals,0.89,-15,116-131,17375,27608,353
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.25,2,10-8,1525,2126,2:3
MRuiz,1,0,6-6,1255,1317,1:0
Profeezy,0.88,-1,7-8,1555,1434,0:2
Skyz,1.11,1,10-9,1595,2015,1:2
Wailers,1.14,1,8-7,950,1654,0:0
Totals,1.08,3,41-38,6880,8546,4:7
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.5,-5,5-10,540,1347,2:1
Arcitys,0.67,-3,6-9,675,1585,1:0
Clayster,1,0,8-8,1280,2040,1:1
Prestinni,1.29,2,9-7,1250,1661,1:2
Simp,1.25,2,10-8,1235,1982,2:0
Totals,0.9,-4,38-42,4980,8615,7:4
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.6,-6,9-15,925,2765,0:0
MRuiz,0.77,-3,10-13,1305,2233,1:0
Profeezy,0.36,-9,5-14,925,1499,0:0
Skyz,1.08,1,13-12,1550,2655,1:0
Wailers,0.62,-5,8-13,1475,2280,0:0
Totals,0.67,-22,45-67,6180,11432,2:0
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.75,6,14-8,2075,3185,0:0
Arcitys,1.11,1,10-9,2125,2425,0:0
Clayster,2.57,11,18-7,3220,3544,0:1
Prestinni,0.62,-5,8-13,1375,2123,0:1
Simp,2.13,9,17-8,2525,3165,0:0
Totals,1.49,22,67-45,11320,14442,0:2
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.94,16,33-17,4535,5336,82
MRuiz,0.63,-7,12-19,2645,4378,76
Profeezy,1.11,2,20-18,3155,4030,48
Skyz,1.73,11,26-15,3655,5496,76
Wailers,0.75,-4,12-16,2050,3185,58
Totals,1.21,18,103-85,16040,22425,340
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.83,-4,20-24,2740,3954,35
Arcitys,0.63,-7,12-19,2325,4181,134
Clayster,0.67,-6,12-18,1680,4311,47
Prestinni,0.95,-1,21-22,3525,4007,45
Simp,0.95,-1,19-20,2560,3830,47
Totals,0.82,-19,84-103,12830,20283,308
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.33,-4,2-6,200,1007,0:1
MRuiz,0.67,-2,4-6,550,1141,1:0
Profeezy,0.43,-4,3-7,475,637,1:3
Skyz,0.83,-1,5-6,675,1137,0:0
Wailers,0.33,-4,2-6,300,660,0:1
Totals,0.52,-15,16-31,2200,4582,2:5
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.4,2,7-5,1155,1105,3:1
Arcitys,0.67,-1,2-3,475,640,0:1
Clayster,2.67,5,8-3,1115,1642,1:0
Prestinni,4,6,8-2,1395,1204,0:0
Simp,1.25,1,5-4,675,1098,1:0
Totals,1.76,13,30-17,4815,5689,5:2
