100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.07,1,16-15,2740,3631,75
Kenny,1.36,5,19-14,3565,3885,99
Octane,1.62,8,21-13,3505,4223,116
Priestahh,0.89,-2,16-18,2425,3097,47
Slasher,1.16,3,22-19,3285,4729,55
Totals,1.19,15,94-79,15520,19565,392
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.13,2,18-16,2755,3920,28
MRuiz,0.6,-8,12-20,1930,2823,25
Profeezy,0.43,-12,9-21,1555,2227,42
Skyz,1.26,5,24-19,3390,4252,62
Wailers,0.89,-2,16-18,2795,3352,91
Totals,0.84,-15,79-94,12425,16574,248
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.4,2,7-5,1150,1608,0:0
Kenny,2.25,5,9-4,1125,1495,2:1
Octane,1.5,2,6-4,875,779,1:0
Priestahh,0.5,-3,3-6,600,1320,1:0
Slasher,3.5,5,7-2,1150,1945,2:0
Totals,1.52,11,32-21,4900,7147,6:1
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.71,-2,5-7,500,1059,1:2
MRuiz,0.67,-2,4-6,510,829,0:3
Profeezy,1.4,2,7-5,1140,1380,0:0
Skyz,0.29,-5,2-7,340,759,0:0
Wailers,0.29,-5,2-7,200,673,0:1
Totals,0.63,-12,20-32,2690,4700,1:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.44,4,13-9,2405,2285,0:0
Kenny,1.08,1,13-12,2665,2627,1:0
Octane,2.4,7,12-5,2285,2311,0:0
Priestahh,2.86,13,20-7,3160,3623,2:0
Slasher,1.1,1,11-10,2225,2765,0:0
Totals,1.6,26,69-43,12740,13611,3:0
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.47,-8,7-15,950,1854,0:0
MRuiz,0.62,-5,8-13,1090,2612,0:0
Profeezy,0.43,-8,6-14,875,1787,0:1
Skyz,0.79,-3,11-14,1400,1979,0:2
Wailers,0.85,-2,11-13,1650,2927,0:0
Totals,0.62,-26,43-69,5965,11159,0:3
