Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.63,-6,10-16,1355,3130,20
Bance,0.47,-9,8-17,1195,2299,29
Brack,0.47,-8,7-15,1260,2439,27
Joee,0.6,-6,9-15,1440,2424,52
Rated,1.18,2,13-11,1705,2909,42
Totals,0.64,-27,47-74,6955,13201,170
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.88,7,15-8,1920,2232,32
Arcitys,3,10,15-5,2715,2681,159
Clayster,1,0,12-12,1815,3020,59
Prestinni,1.8,8,18-10,2210,3695,55
Simp,1.17,2,14-12,1980,2533,35
Totals,1.57,27,74-47,10640,14161,340
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.17,1,7-6,1500,1877,1:1
Bance,1.43,3,10-7,1225,1584,1:0
Brack,1.29,2,9-7,1175,1953,1:0
Joee,1.33,2,8-6,1195,1243,3:1
Rated,0.75,-2,6-8,1100,1112,1:1
Totals,1.18,6,40-34,6195,7769,7:3
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1,0,7-7,800,1938,0:1
Arcitys,0.56,-4,5-9,825,1408,1:1
Clayster,0.56,-4,5-9,675,1112,0:3
Prestinni,1.13,1,9-8,1450,1501,2:1
Simp,1,0,8-8,1000,1602,0:1
Totals,0.83,-7,34-41,4750,7561,3:7
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.87,-2,13-15,2150,3371,0:0
Bance,0.56,-7,9-16,1475,2386,0:1
Brack,0.8,-3,12-15,1550,2156,0:1
Joee,0.63,-6,10-16,1350,2340,0:1
Rated,0.92,-1,12-13,2300,2941,0:1
Totals,0.75,-19,56-75,8825,13194,0:4
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.6,6,16-10,2775,3001,1:0
Arcitys,1.78,7,16-9,2975,3627,2:0
Clayster,0.91,-1,10-11,2560,3097,1:0
Prestinni,1.36,5,19-14,3300,4308,0:0
Simp,1.17,2,14-12,2200,2810,0:0
Totals,1.34,19,75-56,13810,16843,4:0
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.96,-1,23-24,3260,4051,30
Bance,0.86,-3,19-22,2805,3993,63
Brack,1.05,1,21-20,2690,4561,50
Joee,0.6,-10,15-25,2395,3522,29
Rated,0.76,-5,16-21,2465,4363,49
Totals,0.84,-18,94-112,13615,20490,221
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1,0,22-22,2780,4869,38
Arcitys,1,0,15-15,3270,4539,112
Clayster,1.23,5,27-22,3455,4937,33
Prestinni,1.65,11,28-17,4120,4762,108
Simp,1.11,2,20-18,2965,3743,124
Totals,1.19,18,112-94,16590,22850,415
