Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.7,-9,21-30,3155,4815,28
Lucky,1.08,2,26-24,3580,5481,118
MethodZsick,0.63,-11,19-30,3295,4789,49
Mettalz,0.76,-7,22-29,3180,4923,29
Sukry,1,0,24-24,3255,4747,60
Totals,0.82,-25,112-137,16465,24755,284
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.29,6,27-21,4225,4691,73
Jurd,1.16,4,29-25,4640,5420,72
Loony,1,0,23-23,2870,3832,38
Nolson,1.08,2,26-24,4640,5204,114
Temp,1.63,12,31-19,4650,6480,84
Totals,1.21,24,136-112,21025,25627,381
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.44,-5,4-9,950,967,1:2
Lucky,1.57,4,11-7,1350,1874,1:0
MethodZsick,0.33,-6,3-9,425,788,0:2
Mettalz,0.88,-1,7-8,940,1618,2:1
Sukry,1.14,1,8-7,1100,2204,1:0
Totals,0.83,-7,33-40,4765,7451,5:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.2,1,6-5,775,1344,1:0
Jurd,0.83,-1,5-6,1475,1308,0:1
Loony,1,0,7-7,1460,1386,1:3
Nolson,1.38,3,11-8,1330,2073,1:0
Temp,1.43,3,10-7,1250,2158,2:1
Totals,1.18,6,39-33,6290,8269,5:5
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.26,5,24-19,3540,4733,0:0
Lucky,1.14,2,16-14,2900,4423,0:0
MethodZsick,1.31,5,21-16,3075,2999,0:0
Mettalz,1.28,5,23-18,3750,4943,0:2
Sukry,1.31,5,21-16,3225,4799,1:0
Totals,1.27,22,105-83,16490,21897,1:2
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.18,3,20-17,3180,4688,0:0
Jurd,0.74,-6,17-23,2350,3711,1:0
Loony,0.57,-10,13-23,2530,4290,0:1
Nolson,0.61,-7,11-18,2235,3321,1:0
Temp,0.88,-3,21-24,2725,5214,0:0
Totals,0.78,-23,82-105,13020,21224,2:1
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.75,-5,15-20,2190,3356,37
Lucky,0.86,-3,18-21,2600,4534,49
MethodZsick,0.21,-22,6-28,1285,2427,26
Mettalz,1.2,4,24-20,3270,3809,36
Sukry,0.81,-4,17-21,2725,4177,48
Totals,0.73,-30,80-110,12070,18303,196
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.46,6,19-13,3025,3886,63
Jurd,1.53,8,23-15,3545,3786,45
Loony,0.94,-1,16-17,2710,3436,80
Nolson,1.25,4,20-16,3365,4292,75
Temp,1.68,13,32-19,4415,6033,93
Totals,1.38,30,110-80,17060,21433,356
