Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.96,-1,24-25,3900,5599,92
General,1.25,7,35-28,5275,7191,54
GodRx,0.91,-2,21-23,4140,5814,64
Jetli,1.16,4,29-25,4705,5660,88
Kismet,1.86,19,41-22,5470,7376,68
Totals,1.22,27,150-123,23490,31640,366
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.78,-7,25-32,3970,6608,73
Decemate,0.9,-3,28-31,5025,6838,60
Fero,0.93,-2,26-28,3920,5691,74
Huke,0.58,-13,18-31,2630,5084,95
Silly,0.83,-5,24-29,3920,4859,78
Totals,0.8,-30,121-151,19465,29080,380
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.33,1,4-3,750,758,0:0
General,1.2,1,6-5,850,1430,2:0
GodRx,1.67,2,5-3,890,1128,1:1
Jetli,1.33,2,8-6,1050,1161,2:1
Kismet,2.33,4,7-3,1075,1034,0:0
Totals,1.5,10,30-20,4615,5511,5:2
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.33,-4,2-6,400,697,1:2
Decemate,0.33,-4,2-6,525,807,0:1
Fero,0.67,-2,4-6,690,1107,0:1
Huke,1.33,2,8-6,1200,1007,1:1
Silly,0.67,-2,4-6,450,1113,0:0
Totals,0.67,-10,20-30,3265,4731,2:5
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.44,7,23-16,3485,3695,0:0
General,0.84,-3,16-19,2775,4217,0:1
GodRx,1.29,5,22-17,3870,5044,0:1
Jetli,0.83,-3,15-18,2525,3403,1:1
Kismet,1,0,22-22,3775,4426,0:0
Totals,1.07,6,98-92,16430,20785,1:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.05,1,21-20,2925,4870,2:0
Decemate,0.84,-3,16-19,2700,3883,0:0
Fero,1.18,3,20-17,2880,4333,0:0
Huke,0.71,-7,17-24,2200,3803,0:1
Silly,1,0,18-18,2850,3959,1:0
Totals,0.94,-6,92-98,13555,20848,3:1
